table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Georgia: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"9,829,211","9,697,838","9,533,761","9,330,086","9,097,428","8,913,676","8,735,259","8,585,535","8,419,594","8,230,161","8,186,781","8,186,453"
.One Race,"9,698,821","9,573,206","9,415,686","9,219,201","8,993,830","8,816,046","8,644,129","8,499,607","8,339,434","8,156,326","8,113,901","8,113,584"
..White,"6,391,950","6,331,628","6,251,393","6,147,046","6,034,127","5,935,822","5,839,983","5,759,883","5,668,267","5,561,087","5,535,286","5,535,176"
..Black,"2,970,607","2,916,834","2,852,615","2,774,898","2,679,450","2,615,166","2,552,754","2,500,898","2,446,284","2,384,825","2,370,899","2,370,696"
..AIAN,"37,427","35,939","34,457","32,971","31,140","29,708","28,217","27,077","25,733","24,222","24,012","24,008"
..Asian,"290,045","280,414","269,264","256,584","241,921","228,459","216,729","205,539","193,358","180,834","178,403","178,403"
..NHPI,"8,792","8,391","7,957","7,702","7,192","6,891","6,446","6,210","5,792","5,358","5,301","5,301"
.Two or More Races,"130,390","124,632","118,075","110,885","103,598","97,630","91,130","85,928","80,160","73,835","72,880","72,869"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"6,501,160","6,435,804","6,349,937","6,239,358","6,120,204","6,016,696","5,915,306","5,830,676","5,734,092","5,621,479","5,594,797","5,594,679"
..Black,"3,039,194","2,981,913","2,913,736","2,831,773","2,732,121","2,664,275","2,598,081","2,543,119","2,485,168","2,420,116","2,405,627","2,405,424"
..AIAN,"80,469","77,824","74,918","71,898","68,315","65,611","62,688","60,413","57,725","54,741","54,306","54,294"
..Asian,"332,549","320,953","307,523","292,332","275,144","259,638","245,607","232,638","218,477","203,737","201,036","201,033"
..NHPI,"17,391","16,643","15,770","15,081","14,094","13,392","12,506","11,989","11,140","10,310","10,203","10,200"
.NOT HISPANIC,"9,009,324","8,913,759","8,791,010","8,637,713","8,455,392","8,316,497","8,180,127","8,065,683","7,937,548","7,789,295","7,751,530","7,751,226"
..One Race,"8,890,799","8,800,216","8,683,290","8,536,364","8,360,540","8,226,906","8,096,375","7,986,574","7,863,562","7,720,949","7,684,047","7,683,753"
...White,"5,648,743","5,619,681","5,576,741","5,519,118","5,452,668","5,395,880","5,338,734","5,291,339","5,234,692","5,165,657","5,144,886","5,144,797"
...Black,"2,926,844","2,875,642","2,813,533","2,737,432","2,643,816","2,580,989","2,520,200","2,469,407","2,415,867","2,355,621","2,342,046","2,341,845"
...AIAN,"25,114","24,353","23,636","22,928","21,911","21,205","20,381","19,824","19,108","18,224","18,094","18,090"
...Asian,"284,561","275,266","264,395","252,012","237,640","224,471","213,017","202,060","190,178","177,962","175,572","175,572"
...NHPI,"5,537","5,274","4,985","4,874","4,505","4,361","4,043","3,944","3,717","3,485","3,449","3,449"
..Two or More Races,"118,525","113,543","107,720","101,349","94,852","89,591","83,752","79,109","73,986","68,346","67,483","67,473"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,748,228","5,714,782","5,666,804","5,603,610","5,531,579","5,470,188","5,408,024","5,356,559","5,295,453","5,221,591","5,200,011","5,199,914"
...Black,"2,988,460","2,934,228","2,868,628","2,788,751","2,691,404","2,625,439","2,561,258","2,507,703","2,451,209","2,387,745","2,373,658","2,373,457"
...AIAN,"63,932","62,248","60,369","58,356","55,836","54,119","52,034","50,539","48,708","46,573","46,244","46,233"
