table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Hawaii: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,295,178","1,287,481","1,276,832","1,275,599","1,266,117","1,252,782","1,239,298","1,228,069","1,218,305","1,211,566","1,211,538","1,211,537"
.One Race,"1,062,149","1,055,255","1,044,318","1,042,946","1,031,739","1,017,327","1,003,904","991,968","979,230","967,659","967,685","967,684"
..White,"391,377","385,871","376,645","374,983","364,222","352,197","341,890","333,550","323,165","312,415","313,708","313,707"
..Black,"41,553","39,622","37,381","37,527","35,552","32,802","31,883","30,509","27,276","23,431","23,334","23,334"
..AIAN,"8,136","7,796","7,379","7,033","6,547","6,054","5,573","5,080","4,528","3,879","3,835","3,835"
..Asian,"502,372","503,233","504,064","504,902","507,038","508,455","507,606","506,839","508,571","512,051","510,844","510,844"
..NHPI,"118,711","118,733","118,849","118,501","118,380","117,819","116,952","115,990","115,690","115,883","115,964","115,964"
.Two or More Races,"233,029","232,226","232,514","232,653","234,378","235,455","235,394","236,101","239,075","243,907","243,853","243,853"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"562,418","555,845","546,406","544,509","534,671","523,062","512,276","504,060","495,499","488,007","488,527","488,526"
..Black,"52,144","50,027","47,755","47,905","46,062","43,345","42,507","41,239","38,328","35,157","34,293","34,293"
..AIAN,"26,775","26,628","26,355","26,254","26,048","25,813","25,594","25,369","25,319","25,673","25,022","25,022"
..Asian,"690,144","690,160","691,020","691,764","695,026","697,056","695,946","695,437","699,111","705,896","704,985","704,985"
..NHPI,"280,311","280,062","280,335","280,011","280,817","280,799","279,658","278,976","280,023","282,184","283,430","283,430"
.NOT HISPANIC,"1,179,211","1,173,918","1,166,594","1,167,269","1,160,957","1,151,007","1,140,745","1,132,894","1,127,005","1,123,487","1,123,834","1,123,838"
..One Race,"972,687","969,273","962,370","963,388","956,236","945,893","936,342","928,496","920,724","913,866","914,170","914,174"
...White,"324,492","322,973","318,068","318,922","312,345","304,296","297,706","293,115","287,313","280,953","282,438","282,442"
...Black,"37,198","35,555","33,618","33,870","32,135","29,659","28,952","27,793","24,803","21,211","21,132","21,132"
...AIAN,"5,961","5,666","5,331","5,029","4,634","4,244","3,854","3,462","3,087","2,623","2,609","2,609"
...Asian,"492,115","492,493","492,944","493,574","495,394","496,577","495,526","494,631","496,197","499,447","498,258","498,258"
...NHPI,"112,921","112,586","112,409","111,993","111,728","111,117","110,304","109,495","109,324","109,632","109,733","109,733"
..Two or More Races,"206,524","204,645","204,224","203,881","204,721","205,114","204,403","204,398","206,281","209,621","209,664","209,664"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"475,598","472,218","466,605","466,874","460,573","452,449","444,930","439,930","435,166","430,937","431,749","431,753"
...Black,"46,474","44,551","42,516","42,776","41,052","38,592","37,910","36,817","34,043","30,940","30,235","30,235"
...AIAN,"20,487","20,160","19,847","19,686","19,398","19,139","18,856","18,608","18,504","18,663","18,179","18,179"
...Asian,"657,663","656,348","656,311","656,523","658,839","660,162","658,408","657,343","660,073","665,638","664,740","664,740"
...NHPI,"254,413","253,127","252,748","252,111","252,329","251,913","250,614","249,787","250,500","252,199","253,385","253,385"
.HISPANIC,"115,967","113,563","110,238","108,330","105,160","101,775","98,553","95,175","91,300","88,079","87,704","87,699"
..One Race,"89,462","85,982","81,948","79,558","75,503","71,434","67,562","63,472","58,506","53,793","53,515","53,510"
...White,"66,885","62,898","58,577","56,061","51,877","47,901","44,184","40,435","35,852","31,462","31,270","31,265"
...Black,"4,355","4,067","3,763","3,657","3,417","3,143","2,931","2,716","2,473","2,220","2,202","2,202"
...AIAN,"2,175","2,130","2,048","2,004","1,913","1,810","1,719","1,618","1,441","1,256","1,226","1,226"
...Asian,"10,257","10,740","11,120","11,328","11,644","11,878","12,080","12,208","12,374","12,604","12,586","12,586"
...NHPI,"5,790","6,147","6,440","6,508","6,652","6,702","6,648","6,495","6,366","6,251","6,231","6,231"
..Two or More Races,"26,505","27,581","28,290","28,772","29,657","30,341","30,991","31,703","32,794","34,286","34,189","34,189"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"86,820","83,627","79,801","77,635","74,098","70,613","67,346","64,130","60,333","57,070","56,778","56,773"
...Black,"5,670","5,476","5,239","5,129","5,010","4,753","4,597","4,422","4,285","4,217","4,058","4,058"
...AIAN,"6,288","6,468","6,508","6,568","6,650","6,674","6,738","6,761","6,815","7,010","6,843","6,843"
...Asian,"32,481","33,812","34,709","35,241","36,187","36,894","37,538","38,094","39,038","40,258","40,245","40,245"
