table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Idaho: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,545,801","1,527,506","1,499,245","1,464,413","1,425,862","1,391,718","1,364,109","1,342,149","1,321,170","1,299,551","1,293,955","1,293,953"
.One Race,"1,519,445","1,502,319","1,475,188","1,441,707","1,404,377","1,371,384","1,344,656","1,323,599","1,303,442","1,282,767","1,277,374","1,277,372"
..White,"1,459,145","1,443,959","1,419,275","1,388,872","1,354,540","1,324,510","1,300,108","1,281,161","1,262,793","1,244,244","1,239,170","1,239,168"
..Black,"15,827","14,923","13,690","12,443","11,091","9,899","8,826","7,876","6,962","5,954","5,929","5,929"
..AIAN,"23,986","23,499","22,887","22,009","21,354","20,519","19,958","19,573","19,117","18,565","18,440","18,440"
..Asian,"18,301","17,802","17,280","16,456","15,603","14,716","14,085","13,391","13,011","12,522","12,368","12,368"
..NHPI,"2,186","2,136","2,056","1,927","1,789","1,740","1,679","1,598","1,559","1,482","1,467","1,467"
.Two or More Races,"26,356","25,187","24,057","22,706","21,485","20,334","19,453","18,550","17,728","16,784","16,581","16,581"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,484,290","1,467,979","1,442,231","1,410,555","1,375,040","1,343,920","1,318,674","1,298,866","1,279,715","1,260,237","1,254,979","1,254,977"
..Black,"20,738","19,500","17,964","16,400","14,763","13,297","12,028","10,831","9,735","8,517","8,425","8,425"
..AIAN,"36,464","35,610","34,648","33,288","32,185","30,973","30,127","29,443","28,712","27,849","27,658","27,658"
..Asian,"27,759","26,752","25,725","24,325","22,940","21,546","20,525","19,458","18,700","17,825","17,574","17,574"
..NHPI,"4,716","4,567","4,339","4,077","3,836","3,642","3,483","3,301","3,141","2,969","2,947","2,947"
.NOT HISPANIC,"1,380,516","1,368,364","1,348,208","1,322,379","1,293,291","1,266,337","1,244,878","1,228,266","1,212,566","1,196,634","1,192,265","1,192,263"
