table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"12,910,409","12,842,954","12,779,417","12,718,011","12,674,452","12,645,295","12,597,981","12,558,229","12,507,833","12,437,645","12,419,658","12,419,293"
.One Race,"12,745,251","12,683,547","12,625,664","12,570,027","12,531,692","12,507,472","12,465,446","12,430,527","12,384,845","12,319,987","12,303,019","12,302,660"
..White,"10,195,829","10,156,457","10,117,694","10,080,451","10,059,875","10,048,947","10,023,690","10,002,417","9,974,454","9,931,507","9,921,890","9,921,552"
..Black,"1,926,551","1,919,965","1,915,555","1,913,673","1,911,543","1,912,016","1,909,765","1,910,960","1,909,632","1,904,791","1,901,811","1,901,815"
..AIAN,"45,873","44,332","42,974","42,017","41,134","40,388","39,364","38,678","37,844","36,763","36,553","36,553"
..Asian,"567,673","553,776","540,706","525,344","510,772","497,886","484,581","470,557","455,231","439,546","435,449","435,425"
..NHPI,"9,325","9,017","8,735","8,542","8,368","8,235","8,046","7,915","7,684","7,380","7,316","7,315"
.Two or More Races,"165,158","159,407","153,753","147,984","142,760","137,823","132,535","127,702","122,988","117,658","116,639","116,633"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"10,342,127","10,297,414","10,253,456","10,210,921","10,185,496","10,170,024","10,139,905","10,114,159","10,081,865","10,034,088","10,023,505","10,023,161"
..Black,"2,006,833","1,996,637","1,988,879","1,983,568","1,978,419","1,975,978","1,970,716","1,969,103","1,965,090","1,957,397","1,953,914","1,953,917"
..AIAN,"92,014","89,799","87,630","86,007","84,472","83,129","81,340","80,031","78,676","76,775","76,456","76,452"
..Asian,"627,889","611,956","596,837","579,264","562,682","547,909","532,543","516,665","499,440","481,570","477,059","477,034"
..NHPI,"17,572","17,043","16,497","16,003","15,574","15,192","14,768","14,461","13,974","13,366","13,174","13,173"
.NOT HISPANIC,"10,941,810","10,923,397","10,909,439","10,894,210","10,895,499","10,908,041","10,903,838","10,909,175","10,908,351","10,894,018","10,889,350","10,889,031"
..One Race,"10,799,139","10,785,184","10,775,696","10,765,144","10,770,552","10,787,035","10,787,172","10,796,490","10,799,533","10,789,653","10,785,841","10,785,528"
...White,"8,338,165","8,342,365","8,348,412","8,353,911","8,374,744","8,402,527","8,417,477","8,438,783","8,457,908","8,467,932","8,470,921","8,470,628"
...Black,"1,875,690","1,871,622","1,869,357","1,869,062","1,868,475","1,870,295","1,869,371","1,871,608","1,871,144","1,867,452","1,864,773","1,864,778"
...AIAN,"23,242","22,670","22,165","21,610","21,145","20,719","20,040","19,713","19,326","18,772","18,714","18,714"
...Asian,"557,295","543,935","531,328","516,289","502,078","489,504","476,468","462,677","447,622","432,195","428,160","428,136"
