table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"6,423,113","6,388,309","6,346,113","6,301,700","6,253,120","6,214,454","6,181,789","6,149,007","6,124,967","6,091,649","6,080,520","6,080,485"
.One Race,"6,343,736","6,311,116","6,271,236","6,229,592","6,183,962","6,147,930","6,117,845","6,087,466","6,065,972","6,035,169","6,024,599","6,024,564"
..White,"5,637,786","5,616,905","5,589,160","5,559,873","5,528,877","5,505,205","5,486,641","5,467,326","5,455,916","5,436,650","5,428,500","5,428,465"
..Black,"588,163","580,710","572,635","564,195","554,318","546,318","538,941","531,960","525,742","517,872","516,246","516,246"
..AIAN,"20,698","20,233","19,729","19,307","18,767","18,319","17,925","17,595","17,186","16,738","16,655","16,655"
..Asian,"93,813","90,106","86,661","83,256","79,154","75,364","71,690","68,011","64,635","61,520","60,818","60,818"
..NHPI,"3,276","3,162","3,051","2,961","2,846","2,724","2,648","2,574","2,493","2,389","2,380","2,380"
.Two or More Races,"79,377","77,193","74,877","72,108","69,158","66,524","63,944","61,541","58,995","56,480","55,921","55,921"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,711,588","5,688,619","5,658,681","5,626,796","5,593,021","5,566,871","5,545,857","5,524,259","5,510,436","5,488,796","5,480,184","5,480,149"
..Black,"628,910","620,033","610,442","600,192","588,487","578,802","569,759","561,261","553,435","544,005","542,046","542,046"
..AIAN,"47,780","46,951","46,127","45,207","44,118","43,241","42,387","41,656","40,787","39,878","39,733","39,733"
..Asian,"112,589","108,318","104,225","100,119","95,194","90,696","86,370","82,048","78,008","74,235","73,282","73,282"
..NHPI,"6,597","6,358","6,177","5,940","5,702","5,461","5,238","5,084","4,889","4,665","4,605","4,605"
.NOT HISPANIC,"6,072,437","6,050,494","6,023,220","5,994,904","5,964,054","5,942,417","5,924,131","5,905,388","5,893,625","5,874,908","5,865,979","5,865,949"
..One Race,"5,999,336","5,979,211","5,953,892","5,927,992","5,899,700","5,880,329","5,864,297","5,847,652","5,838,157","5,821,621","5,813,213","5,813,183"
...White,"5,314,946","5,305,292","5,290,946","5,276,498","5,261,756","5,253,716","5,248,372","5,241,957","5,241,831","5,235,887","5,229,799","5,229,769"
...Black,"574,755","568,096","560,736","552,851","543,640","536,268","529,400","522,929","517,142","509,831","508,273","508,273"
...AIAN,"15,992","15,795","15,547","15,310","14,987","14,755","14,531","14,389","14,149","13,913","13,854","13,854"
...Asian,"91,544","87,996","84,691","81,407","77,456","73,804","70,246","66,669","63,374","60,379","59,682","59,682"
...NHPI,"2,099","2,032","1,972","1,926","1,861","1,786","1,748","1,708","1,661","1,611","1,605","1,605"
..Two or More Races,"73,101","71,283","69,328","66,912","64,354","62,088","59,834","57,736","55,468","53,287","52,766","52,766"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,383,154","5,371,749","5,355,532","5,338,792","5,321,616","5,311,422","5,303,929","5,295,510","5,293,208","5,285,201","5,278,682","5,278,652"
...Black,"612,598","604,677","595,973","586,471","575,619","566,723","558,347","550,505","543,240","534,533","532,649","532,649"
...AIAN,"40,295","39,898","39,443","38,855","38,162","37,633","37,098","36,659","36,081","35,512","35,395","35,395"
...Asian,"108,686","104,678","100,855","96,942","92,293","88,058","83,914","79,790","75,908","72,328","71,403","71,403"
...NHPI,"4,817","4,663","4,573","4,421","4,281","4,126","3,992","3,893","3,764","3,626","3,581","3,581"
.HISPANIC,"350,676","337,815","322,893","306,796","289,066","272,037","257,658","243,619","231,342","216,741","214,541","214,536"
..One Race,"344,400","331,905","317,344","301,600","284,262","267,601","253,548","239,814","227,815","213,548","211,386","211,381"
...White,"322,840","311,613","298,214","283,375","267,121","251,489","238,269","225,369","214,085","200,763","198,701","198,696"
...Black,"13,408","12,614","11,899","11,344","10,678","10,050","9,541","9,031","8,600","8,041","7,973","7,973"
...AIAN,"4,706","4,438","4,182","3,997","3,780","3,564","3,394","3,206","3,037","2,825","2,801","2,801"
...Asian,"2,269","2,110","1,970","1,849","1,698","1,560","1,444","1,342","1,261","1,141","1,136","1,136"
...NHPI,"1,177","1,130","1,079","1,035",985,938,900,866,832,778,775,775
..Two or More Races,"6,276","5,910","5,549","5,196","4,804","4,436","4,110","3,805","3,527","3,193","3,155","3,155"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"328,434","316,870","303,149","288,004","271,405","255,449","241,928","228,749","217,228","203,595","201,502","201,497"
...Black,"16,312","15,356","14,469","13,721","12,868","12,079","11,412","10,756","10,195","9,472","9,397","9,397"
...AIAN,"7,485","7,053","6,684","6,352","5,956","5,608","5,289","4,997","4,706","4,366","4,338","4,338"
...Asian,"3,903","3,640","3,370","3,177","2,901","2,638","2,456","2,258","2,100","1,907","1,879","1,879"
