table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"3,007,856","2,993,987","2,978,719","2,964,391","2,949,450","2,941,358","2,932,799","2,929,264","2,929,424","2,928,184","2,926,380","2,926,324"
.One Race,"2,973,609","2,960,808","2,946,929","2,933,920","2,920,355","2,913,452","2,906,119","2,903,737","2,904,963","2,904,913","2,903,287","2,903,231"
..White,"2,824,723","2,816,934","2,808,330","2,800,224","2,791,271","2,788,343","2,784,868","2,785,825","2,790,104","2,792,809","2,791,703","2,791,648"
..Black,"84,054","81,426","78,228","75,159","72,355","70,042","68,109","66,580","65,071","63,487","63,368","63,367"
..AIAN,"13,248","12,948","12,513","12,004","11,671","11,290","10,820","10,419","10,034","9,525","9,504","9,504"
..Asian,"49,975","47,984","46,413","45,151","43,721","42,493","41,059","39,736","38,629","37,940","37,566","37,566"
..NHPI,"1,609","1,516","1,445","1,382","1,337","1,284","1,263","1,177","1,125","1,152","1,146","1,146"
.Two or More Races,"34,247","33,179","31,790","30,471","29,095","27,906","26,680","25,527","24,461","23,271","23,093","23,093"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,856,954","2,848,151","2,838,219","2,828,850","2,818,597","2,814,514","2,809,865","2,809,724","2,812,992","2,814,538","2,813,302","2,813,247"
..Black,"100,775","97,488","93,433","89,590","85,969","82,945","80,328","78,095","75,953","73,707","73,476","73,475"
..AIAN,"24,187","23,714","23,047","22,303","21,724","21,164","20,467","19,850","19,280","18,538","18,491","18,491"
..Asian,"58,942","56,665","54,705","53,048","51,237","49,662","47,849","46,221","44,803","43,782","43,322","43,322"
..NHPI,"3,328","3,153","3,034","2,893","2,777","2,678","2,574","2,460","2,345","2,307","2,267","2,267"
.NOT HISPANIC,"2,873,454","2,866,073","2,856,427","2,848,032","2,839,041","2,836,331","2,833,329","2,834,857","2,840,239","2,844,996","2,843,906","2,843,851"
..One Race,"2,841,669","2,835,221","2,826,845","2,819,639","2,811,907","2,810,301","2,808,421","2,811,000","2,817,348","2,823,170","2,822,250","2,822,195"
...White,"2,701,186","2,699,203","2,695,584","2,692,672","2,689,093","2,691,054","2,692,565","2,698,056","2,707,008","2,715,070","2,714,662","2,714,608"
...Black,"79,586","77,346","74,493","71,709","69,184","67,117","65,448","64,168","62,931","61,650","61,536","61,535"
...AIAN,"10,531","10,314","9,991","9,705","9,499","9,232","8,916","8,653","8,403","8,073","8,055","8,055"
...Asian,"49,046","47,115","45,596","44,425","43,045","41,865","40,473","39,182","38,112","37,452","37,078","37,078"
...NHPI,"1,320","1,243","1,181","1,128","1,086","1,033","1,019",941,894,925,919,919
..Two or More Races,"31,785","30,852","29,582","28,393","27,134","26,030","24,908","23,857","22,891","21,826","21,656","21,656"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,731,162","2,728,274","2,723,439","2,719,399","2,714,621","2,715,497","2,715,947","2,720,418","2,728,452","2,735,483","2,734,951","2,734,897"
...Black,"95,223","92,387","88,753","85,227","81,955","79,212","76,888","74,956","73,145","71,257","71,036","71,035"
...AIAN,"20,273","19,934","19,441","18,980","18,565","18,158","17,660","17,226","16,840","16,331","16,287","16,287"
...Asian,"57,498","55,329","53,427","51,903","50,173","48,666","46,927","45,355","43,990","43,020","42,563","42,563"
...NHPI,"2,857","2,730","2,620","2,504","2,393","2,304","2,227","2,124","2,018","1,994","1,959","1,959"
.HISPANIC,"134,402","127,914","122,292","116,359","110,409","105,027","99,470","94,407","89,185","83,188","82,474","82,473"
..One Race,"131,940","125,587","120,084","114,281","108,448","103,151","97,698","92,737","87,615","81,743","81,037","81,036"
...White,"123,537","117,731","112,746","107,552","102,178","97,289","92,303","87,769","83,096","77,739","77,041","77,040"
...Black,"4,468","4,080","3,735","3,450","3,171","2,925","2,661","2,412","2,140","1,837","1,832","1,832"
...AIAN,"2,717","2,634","2,522","2,299","2,172","2,058","1,904","1,766","1,631","1,452","1,449","1,449"
...Asian,929,869,817,726,676,628,586,554,517,488,488,488
...NHPI,289,273,264,254,251,251,244,236,231,227,227,227
