table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,818,747","2,797,375","2,775,586","2,755,700","2,741,771","2,730,765","2,721,955","2,712,598","2,701,456","2,692,810","2,688,811","2,688,418"
.One Race,"2,766,494","2,746,851","2,726,526","2,708,028","2,695,069","2,685,153","2,677,368","2,669,170","2,659,311","2,651,688","2,648,053","2,647,663"
..White,"2,495,350","2,480,615","2,466,656","2,452,356","2,443,817","2,436,563","2,432,213","2,427,226","2,421,592","2,417,484","2,414,752","2,414,428"
..Black,"174,689","172,453","168,553","166,350","163,365","162,636","161,204","160,454","158,935","157,751","157,438","157,389"
..AIAN,"29,355","28,868","28,481","28,230","27,945","27,563","27,188","26,816","26,461","26,093","25,994","25,984"
..Asian,"64,863","62,740","60,790","59,134","58,035","56,533","54,970","52,932","50,607","48,734","48,246","48,239"
..NHPI,"2,237","2,175","2,046","1,958","1,907","1,858","1,793","1,742","1,716","1,626","1,623","1,623"
.Two or More Races,"52,253","50,524","49,060","47,672","46,702","45,612","44,587","43,428","42,145","41,122","40,758","40,755"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,543,107","2,526,707","2,511,408","2,495,816","2,486,394","2,478,120","2,472,789","2,466,703","2,459,881","2,454,813","2,451,799","2,451,472"
..Black,"196,726","193,426","188,639","185,583","181,957","180,592","178,541","177,112","174,820","173,026","172,480","172,429"
..AIAN,"53,429","52,598","51,917","51,423","50,982","50,415","49,869","49,265","48,646","48,123","47,926","47,916"
..Asian,"76,340","73,810","71,406","69,358","67,971","66,145","64,292","61,908","59,223","57,023","56,426","56,418"
..NHPI,"4,573","4,406","4,232","4,054","3,922","3,782","3,719","3,595","3,504","3,339","3,291","3,291"
.NOT HISPANIC,"2,555,440","2,543,244","2,530,868","2,520,219","2,514,103","2,510,978","2,509,238","2,507,353","2,503,585","2,502,691","2,500,514","2,500,166"
..One Race,"2,508,013","2,497,327","2,486,173","2,476,663","2,471,296","2,469,064","2,468,189","2,467,309","2,464,680","2,464,653","2,462,805","2,462,460"
...White,"2,252,980","2,246,307","2,240,648","2,234,490","2,232,646","2,232,360","2,234,396","2,236,242","2,237,289","2,240,218","2,239,199","2,238,918"
...Black,"165,904","164,255","160,936","159,225","156,753","156,449","155,336","154,884","153,708","152,880","152,607","152,558"
...AIAN,"24,143","23,870","23,665","23,644","23,619","23,449","23,231","22,999","22,803","22,583","22,514","22,506"
...Asian,"63,318","61,265","59,396","57,840","56,840","55,406","53,880","51,884","49,599","47,773","47,287","47,280"
...NHPI,"1,668","1,630","1,528","1,464","1,438","1,400","1,346","1,300","1,281","1,199","1,198","1,198"
..Two or More Races,"47,427","45,917","44,695","43,556","42,807","41,914","41,049","40,044","38,905","38,038","37,709","37,706"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,296,475","2,288,335","2,281,543","2,274,322","2,271,785","2,270,649","2,271,852","2,272,729","2,272,708","2,274,816","2,273,543","2,273,259"
...Black,"185,873","183,272","179,179","176,712","173,721","172,862","171,193","170,140","168,253","166,884","166,394","166,343"
...AIAN,"45,625","45,092","44,716","44,579","44,511","44,249","43,931","43,543","43,161","42,845","42,700","42,692"
...Asian,"73,923","71,494","69,227","67,334","66,082","64,370","62,584","60,289","57,663","55,552","54,962","54,954"
...NHPI,"3,602","3,504","3,354","3,241","3,153","3,059","2,998","2,909","2,854","2,701","2,660","2,660"
.HISPANIC,"263,307","254,131","244,718","235,481","227,668","219,787","212,717","205,245","197,871","190,119","188,297","188,252"
..One Race,"258,481","249,524","240,353","231,365","223,773","216,089","209,179","201,861","194,631","187,035","185,248","185,203"
...White,"242,370","234,308","226,008","217,866","211,171","204,203","197,817","190,984","184,303","177,266","175,553","175,510"
...Black,"8,785","8,198","7,617","7,125","6,612","6,187","5,868","5,570","5,227","4,871","4,831","4,831"
...AIAN,"5,212","4,998","4,816","4,586","4,326","4,114","3,957","3,817","3,658","3,510","3,480","3,478"
...Asian,"1,545","1,475","1,394","1,294","1,195","1,127","1,090","1,048","1,008",961,959,959
...NHPI,569,545,518,494,469,458,447,442,435,427,425,425
..Two or More Races,"4,826","4,607","4,365","4,116","3,895","3,698","3,538","3,384","3,240","3,084","3,049","3,049"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"246,632","238,372","229,865","221,494","214,609","207,471","200,937","193,974","187,173","179,997","178,256","178,213"
...Black,"10,853","10,154","9,460","8,871","8,236","7,730","7,348","6,972","6,567","6,142","6,086","6,086"
...AIAN,"7,804","7,506","7,201","6,844","6,471","6,166","5,938","5,722","5,485","5,278","5,226","5,224"
...Asian,"2,417","2,316","2,179","2,024","1,889","1,775","1,708","1,619","1,560","1,471","1,464","1,464"
...NHPI,971,902,878,813,769,723,721,686,650,638,631,631
MALE,"1,399,823","1,389,108","1,375,466","1,366,384","1,356,510","1,350,889","1,345,576","1,341,599","1,336,087","1,330,751","1,328,670","1,328,474"
.One Race,"1,373,950","1,364,118","1,351,235","1,342,768","1,333,343","1,328,270","1,323,574","1,320,167","1,315,319","1,310,492","1,308,590","1,308,394"
..White,"1,237,386","1,229,922","1,220,830","1,214,193","1,207,417","1,203,704","1,200,818","1,199,101","1,196,202","1,193,047","1,191,576","1,191,411"
..Black,"88,317","87,315","84,880","84,021","82,149","81,761","80,937","80,579","79,985","79,457","79,317","79,293"
..AIAN,"14,968","14,739","14,524","14,380","14,172","13,993","13,789","13,590","13,433","13,226","13,180","13,176"
..Asian,"32,107","30,992","29,948","29,145","28,598","27,839","27,073","25,965","24,790","23,922","23,681","23,678"
..NHPI,"1,172","1,150","1,053","1,029","1,007",973,957,932,909,840,836,836
.Two or More Races,"25,873","24,990","24,231","23,616","23,167","22,619","22,002","21,432","20,768","20,259","20,080","20,080"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,261,050","1,252,742","1,242,942","1,235,738","1,228,555","1,224,323","1,220,846","1,218,590","1,215,074","1,211,441","1,209,841","1,209,676"
..Black,"99,311","97,759","94,870","93,607","91,436","90,706","89,537","88,818","87,803","86,966","86,704","86,680"
..AIAN,"26,617","26,221","25,858","25,617","25,334","25,086","24,754","24,445","24,168","23,891","23,812","23,808"
..Asian,"37,935","36,611","35,332","34,347","33,678","32,755","31,813","30,547","29,186","28,154","27,850","27,847"
..NHPI,"2,356","2,267","2,156","2,099","2,027","1,955","1,935","1,879","1,827","1,724","1,682","1,682"
