table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kentucky: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"4,314,113","4,287,931","4,256,278","4,219,374","4,182,293","4,147,970","4,118,627","4,091,330","4,069,191","4,048,903","4,042,288","4,041,769"
.One Race,"4,265,436","4,240,341","4,210,178","4,175,217","4,139,841","4,107,089","4,079,442","4,053,593","4,032,946","4,014,211","4,007,928","4,007,413"
..White,"3,865,858","3,848,900","3,824,685","3,797,295","3,767,775","3,742,028","3,722,780","3,701,180","3,685,622","3,672,903","3,667,900","3,667,414"
..Black,"339,435","333,505","329,335","323,838","319,918","315,339","309,325","307,011","303,907","299,917","299,005","298,982"
..AIAN,"11,593","11,133","10,991","10,580","10,383","10,119","9,707","9,536","9,373","8,985","8,942","8,940"
..Asian,"46,111","44,481","42,890","41,386","39,706","37,691","35,847","34,088","32,328","30,785","30,461","30,457"
..NHPI,"2,439","2,322","2,277","2,118","2,059","1,912","1,783","1,778","1,716","1,621","1,620","1,620"
.Two or More Races,"48,677","47,590","46,100","44,157","42,452","40,881","39,185","37,737","36,245","34,692","34,360","34,356"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,911,216","3,893,233","3,867,619","3,838,373","3,807,206","3,779,977","3,759,136","3,736,124","3,719,143","3,704,938","3,699,731","3,699,241"
..Black,"363,646","357,083","351,841","345,139","340,102","334,474","327,381","324,098","320,041","315,054","313,868","313,843"
..AIAN,"29,677","29,045","28,730","27,922","27,497","26,968","26,236","25,858","25,455","24,773","24,678","24,674"
..Asian,"56,430","54,438","52,479","50,522","48,414","46,033","43,760","41,670","39,527","37,642","37,213","37,209"
..NHPI,"4,740","4,571","4,456","4,173","4,061","3,831","3,624","3,548","3,403","3,266","3,211","3,211"
