table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maine: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,318,301","1,319,691","1,317,308","1,314,963","1,311,631","1,308,253","1,303,102","1,293,938","1,284,791","1,277,211","1,274,915","1,274,923"
.One Race,"1,304,079","1,305,701","1,303,787","1,301,800","1,298,775","1,295,861","1,291,098","1,282,375","1,273,748","1,266,526","1,264,333","1,264,341"
..White,"1,267,444","1,269,966","1,269,352","1,268,395","1,266,703","1,265,362","1,261,951","1,255,165","1,248,092","1,242,266","1,240,222","1,240,230"
..Black,"15,327","14,810","14,058","13,267","12,273","11,324","10,381","9,070","8,115","7,225","7,207","7,207"
..AIAN,"8,067","7,964","7,801","7,701","7,647","7,511","7,498","7,393","7,305","7,212","7,178","7,178"
..Asian,"12,757","12,483","12,106","11,975","11,688","11,204","10,820","10,324","9,825","9,424","9,327","9,327"
..NHPI,484,478,470,462,464,460,448,423,411,399,399,399
.Two or More Races,"14,222","13,990","13,521","13,163","12,856","12,392","12,004","11,563","11,043","10,685","10,582","10,582"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,281,148","1,283,456","1,282,384","1,281,079","1,279,088","1,277,297","1,273,509","1,266,307","1,258,724","1,252,544","1,250,424","1,250,432"
..Black,"19,634","18,968","17,983","17,018","15,855","14,699","13,554","12,062","10,906","9,845","9,790","9,790"
..AIAN,"14,811","14,716","14,451","14,295","14,205","13,956","13,883","13,649","13,408","13,243","13,175","13,175"
..Asian,"16,650","16,273","15,743","15,471","15,048","14,402","13,876","13,210","12,550","12,016","11,860","11,860"
..NHPI,"1,057","1,024","1,000",983,972,941,924,864,818,812,797,797
.NOT HISPANIC,"1,300,036","1,302,076","1,300,586","1,299,191","1,296,799","1,294,369","1,290,325","1,282,404","1,274,249","1,267,774","1,265,555","1,265,563"
..One Race,"1,286,352","1,288,614","1,287,572","1,286,512","1,284,412","1,282,429","1,278,753","1,271,252","1,263,595","1,257,459","1,255,342","1,255,350"
