table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Maryland: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"5,699,478","5,658,655","5,634,242","5,612,196","5,582,520","5,542,659","5,496,708","5,439,913","5,375,033","5,310,579","5,296,544","5,296,486"
.One Race,"5,603,964","5,565,855","5,544,202","5,525,008","5,498,320","5,461,590","5,418,636","5,365,005","5,303,221","5,242,032","5,228,694","5,228,636"
..White,"3,588,912","3,578,394","3,577,388","3,581,743","3,583,893","3,579,052","3,569,456","3,550,217","3,524,922","3,499,865","3,493,556","3,493,504"
..Black,"1,691,143","1,673,357","1,661,283","1,646,173","1,626,215","1,604,497","1,581,154","1,556,825","1,530,574","1,504,251","1,499,612","1,499,606"
..AIAN,"21,134","20,580","20,144","19,708","19,241","18,658","18,209","17,803","17,303","16,859","16,784","16,784"
..Asian,"297,997","288,908","280,993","273,226","265,112","255,786","246,444","236,985","227,450","218,277","215,981","215,981"
..NHPI,"4,778","4,616","4,394","4,158","3,859","3,597","3,373","3,175","2,972","2,780","2,761","2,761"
.Two or More Races,"95,514","92,800","90,040","87,188","84,200","81,069","78,072","74,908","71,812","68,547","67,850","67,850"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,667,989","3,655,028","3,651,560","3,653,335","3,652,826","3,645,198","3,632,905","3,610,862","3,582,882","3,554,961","3,547,953","3,547,901"
..Black,"1,746,416","1,726,770","1,712,790","1,695,808","1,673,890","1,650,165","1,624,915","1,598,550","1,570,386","1,542,085","1,537,083","1,537,077"
..AIAN,"47,962","47,101","46,411","45,661","44,826","43,867","43,038","42,228","41,250","40,319","40,157","40,157"
