table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Massachusetts: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"6,593,587","6,543,595","6,499,275","6,466,399","6,453,031","6,451,279","6,451,637","6,440,978","6,411,730","6,363,015","6,349,119","6,349,097"
.One Race,"6,494,735","6,448,165","6,407,235","6,377,651","6,367,391","6,368,484","6,371,499","6,363,575","6,337,375","6,292,142","6,278,971","6,278,949"
..White,"5,664,723","5,637,275","5,613,956","5,599,906","5,604,797","5,619,473","5,635,812","5,642,750","5,635,494","5,613,479","5,604,431","5,604,409"
..Black,"468,838","461,257","454,008","446,821","440,242","435,091","430,618","424,570","416,727","407,783","406,247","406,247"
..AIAN,"20,812","20,227","19,707","19,416","19,097","18,924","18,705","18,429","18,105","17,605","17,516","17,516"
..Asian,"334,709","323,906","314,229","306,266","298,100","289,953","281,359","272,891","262,203","248,573","246,109","246,109"
..NHPI,"5,653","5,500","5,335","5,242","5,155","5,043","5,005","4,935","4,846","4,702","4,668","4,668"
.Two or More Races,"98,852","95,430","92,040","88,748","85,640","82,795","80,138","77,403","74,355","70,873","70,148","70,148"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,752,222","5,721,608","5,695,139","5,678,026","5,680,035","5,692,058","5,705,924","5,710,314","5,700,215","5,675,061","5,665,384","5,665,362"
..Black,"523,673","513,639","504,070","494,703","486,001","478,962","472,727","464,870","455,148","444,087","442,257","442,257"
..AIAN,"45,653","44,695","43,815","43,192","42,639","42,163","41,754","41,254","40,609","39,634","39,563","39,563"
..Asian,"365,478","353,811","343,152","334,181","325,062","316,012","306,519","297,139","285,441","270,642","267,621","267,621"
..NHPI,"12,195","11,863","11,521","11,234","10,970","10,673","10,505","10,273","9,984","9,602","9,525","9,525"
.NOT HISPANIC,"6,010,706","5,982,311","5,958,203","5,942,814","5,945,401","5,956,588","5,969,380","5,972,592","5,959,544","5,929,953","5,920,390","5,920,368"
..One Race,"5,930,551","5,904,649","5,883,038","5,870,103","5,874,994","5,888,311","5,903,124","5,908,413","5,897,719","5,870,884","5,861,890","5,861,868"
...White,"5,188,241","5,179,418","5,173,214","5,173,792","5,192,192","5,217,760","5,244,351","5,262,774","5,269,028","5,262,882","5,257,351","5,257,329"
...Black,"395,032","388,900","383,333","377,821","372,570","368,492","365,325","360,767","354,594","347,725","346,751","346,751"
...AIAN,"13,401","13,207","13,024","12,934","12,797","12,757","12,648","12,511","12,365","12,136","12,093","12,093"
...Asian,"330,968","320,297","310,746","302,901","294,849","286,808","278,330","269,958","259,391","245,898","243,464","243,464"
...NHPI,"2,909","2,827","2,721","2,655","2,586","2,494","2,470","2,403","2,341","2,243","2,231","2,231"
..Two or More Races,"80,155","77,662","75,165","72,711","70,407","68,277","66,256","64,179","61,825","59,069","58,500","58,500"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,258,444","5,247,323","5,238,797","5,237,086","5,253,359","5,276,934","5,301,642","5,318,149","5,322,210","5,313,611","5,307,593","5,307,571"
...Black,"434,376","426,586","419,470","412,471","405,804","400,406","396,024","390,219","382,755","374,359","373,196","373,196"
...AIAN,"34,827","34,402","33,985","33,714","33,437","33,241","33,012","32,762","32,385","31,802","31,796","31,796"
...Asian,"359,990","348,514","338,073","329,309","320,363","311,512","302,201","292,986","281,475","266,878","263,930","263,930"
...NHPI,"8,575","8,364","8,116","7,911","7,703","7,475","7,339","7,137","6,911","6,598","6,554","6,554"
.HISPANIC,"582,881","561,284","541,072","523,585","507,630","494,691","482,257","468,386","452,186","433,062","428,729","428,729"
..One Race,"564,184","543,516","524,197","507,548","492,397","480,173","468,375","455,162","439,656","421,258","417,081","417,081"
...White,"476,482","457,857","440,742","426,114","412,605","401,713","391,461","379,976","366,466","350,597","347,080","347,080"
...Black,"73,806","72,357","70,675","69,000","67,672","66,599","65,293","63,803","62,133","60,058","59,496","59,496"
...AIAN,"7,411","7,020","6,683","6,482","6,300","6,167","6,057","5,918","5,740","5,469","5,423","5,423"
...Asian,"3,741","3,609","3,483","3,365","3,251","3,145","3,029","2,933","2,812","2,675","2,645","2,645"
...NHPI,"2,744","2,673","2,614","2,587","2,569","2,549","2,535","2,532","2,505","2,459","2,437","2,437"
..Two or More Races,"18,697","17,768","16,875","16,037","15,233","14,518","13,882","13,224","12,530","11,804","11,648","11,648"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"493,778","474,285","456,342","440,940","426,676","415,124","404,282","392,165","378,005","361,450","357,791","357,791"
...Black,"89,297","87,053","84,600","82,232","80,197","78,556","76,703","74,651","72,393","69,728","69,061","69,061"
...AIAN,"10,826","10,293","9,830","9,478","9,202","8,922","8,742","8,492","8,224","7,832","7,767","7,767"
...Asian,"5,488","5,297","5,079","4,872","4,699","4,500","4,318","4,153","3,966","3,764","3,691","3,691"
...NHPI,"3,620","3,499","3,405","3,323","3,267","3,198","3,166","3,136","3,073","3,004","2,971","2,971"
MALE,"3,204,983","3,178,020","3,154,061","3,135,320","3,125,471","3,122,029","3,119,875","3,111,900","3,093,127","3,066,113","3,058,827","3,058,816"
.One Race,"3,156,163","3,130,962","3,108,709","3,091,650","3,083,508","3,081,483","3,080,774","3,074,277","3,057,110","3,031,885","3,024,964","3,024,953"
..White,"2,750,988","2,734,984","2,721,389","2,712,038","2,711,451","2,716,344","2,722,337","2,723,337","2,715,863","2,702,270","2,697,430","2,697,419"
..Black,"229,420","225,581","221,745","217,829","214,152","211,179","208,599","205,214","200,773","196,362","195,587","195,587"
..AIAN,"10,533","10,232","9,957","9,777","9,595","9,486","9,397","9,258","9,057","8,819","8,771","8,771"
..Asian,"162,483","157,484","153,016","149,445","145,784","142,009","137,981","134,043","129,043","122,129","120,886","120,886"
..NHPI,"2,739","2,681","2,602","2,561","2,526","2,465","2,460","2,425","2,374","2,305","2,290","2,290"
.Two or More Races,"48,820","47,058","45,352","43,670","41,963","40,546","39,101","37,623","36,017","34,228","33,863","33,863"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,794,505","2,776,836","2,761,673","2,750,729","2,748,592","2,752,135","2,756,783","2,756,411","2,747,436","2,732,229","2,727,070","2,727,059"
..Black,"256,440","251,309","246,273","241,239","236,396","232,457","228,938","224,576","219,138","213,635","212,693","212,693"
..AIAN,"22,461","21,975","21,517","21,178","20,835","20,599","20,389","20,126","19,724","19,246","19,196","19,196"
..Asian,"177,685","172,281","167,340","163,262","159,081","154,893","150,361","145,931","140,427","132,934","131,446","131,446"
..NHPI,"5,946","5,816","5,634","5,523","5,370","5,234","5,153","5,038","4,879","4,686","4,658","4,658"
.NOT HISPANIC,"2,910,340","2,894,970","2,881,759","2,872,341","2,871,202","2,874,912","2,879,474","2,879,256","2,869,233","2,852,209","2,847,126","2,847,115"
..One Race,"2,871,189","2,857,063","2,845,049","2,836,849","2,836,969","2,841,685","2,847,338","2,848,221","2,839,408","2,823,785","2,818,986","2,818,975"
...White,"2,509,088","2,503,111","2,498,632","2,497,091","2,503,901","2,514,817","2,526,396","2,533,823","2,533,643","2,528,366","2,525,314","2,525,303"
...Black,"193,289","190,183","187,198","184,143","181,158","178,761","176,844","174,282","170,731","167,375","166,883","166,883"
...AIAN,"6,677","6,596","6,505","6,448","6,372","6,346","6,321","6,257","6,151","6,047","6,024","6,024"
...Asian,"160,656","155,727","151,327","147,819","144,222","140,507","136,533","132,652","127,713","120,870","119,643","119,643"
...NHPI,"1,479","1,446","1,387","1,348","1,316","1,254","1,244","1,207","1,170","1,127","1,122","1,122"
..Two or More Races,"39,151","37,907","36,710","35,492","34,233","33,227","32,136","31,035","29,825","28,424","28,140","28,140"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,543,621","2,536,469","2,530,888","2,528,198","2,533,864","2,543,816","2,554,381","2,560,795","2,559,480","2,552,954","2,549,661","2,549,650"
...Black,"212,274","208,322","204,585","200,796","197,035","194,006","191,449","188,241","184,031","179,897","179,291","179,291"
...AIAN,"16,849","16,657","16,459","16,314","16,148","16,064","15,974","15,839","15,592","15,315","15,300","15,300"
...Asian,"175,007","169,701","164,881","160,913","156,825","152,747","148,301","143,972","138,567","131,167","129,712","129,712"
...NHPI,"4,222","4,150","4,009","3,915","3,797","3,684","3,609","3,502","3,385","3,231","3,222","3,222"
.HISPANIC,"294,643","283,050","272,302","262,979","254,269","247,117","240,401","232,644","223,894","213,904","211,701","211,701"
..One Race,"284,974","273,899","263,660","254,801","246,539","239,798","233,436","226,056","217,702","208,100","205,978","205,978"
...White,"241,900","231,873","222,757","214,947","207,550","201,527","195,941","189,514","182,220","173,904","172,116","172,116"
...Black,"36,131","35,398","34,547","33,686","32,994","32,418","31,755","30,932","30,042","28,987","28,704","28,704"
...AIAN,"3,856","3,636","3,452","3,329","3,223","3,140","3,076","3,001","2,906","2,772","2,747","2,747"
...Asian,"1,827","1,757","1,689","1,626","1,562","1,502","1,448","1,391","1,330","1,259","1,243","1,243"
...NHPI,"1,260","1,235","1,215","1,213","1,210","1,211","1,216","1,218","1,204","1,178","1,168","1,168"
..Two or More Races,"9,669","9,151","8,642","8,178","7,730","7,319","6,965","6,588","6,192","5,804","5,723","5,723"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"250,884","240,367","230,785","222,531","214,728","208,319","202,402","195,616","187,956","179,275","177,409","177,409"
...Black,"44,166","42,987","41,688","40,443","39,361","38,451","37,489","36,335","35,107","33,738","33,402","33,402"
...AIAN,"5,612","5,318","5,058","4,864","4,687","4,535","4,415","4,287","4,132","3,931","3,896","3,896"
...Asian,"2,678","2,580","2,459","2,349","2,256","2,146","2,060","1,959","1,860","1,767","1,734","1,734"
...NHPI,"1,724","1,666","1,625","1,608","1,573","1,550","1,544","1,536","1,494","1,455","1,436","1,436"
FEMALE,"3,388,604","3,365,575","3,345,214","3,331,079","3,327,560","3,329,250","3,331,762","3,329,078","3,318,603","3,296,902","3,290,292","3,290,281"
.One Race,"3,338,572","3,317,203","3,298,526","3,286,001","3,283,883","3,287,001","3,290,725","3,289,298","3,280,265","3,260,257","3,254,007","3,253,996"
..White,"2,913,735","2,902,291","2,892,567","2,887,868","2,893,346","2,903,129","2,913,475","2,919,413","2,919,631","2,911,209","2,907,001","2,906,990"
..Black,"239,418","235,676","232,263","228,992","226,090","223,912","222,019","219,356","215,954","211,421","210,660","210,660"
..AIAN,"10,279","9,995","9,750","9,639","9,502","9,438","9,308","9,171","9,048","8,786","8,745","8,745"
..Asian,"172,226","166,422","161,213","156,821","152,316","147,944","143,378","138,848","133,160","126,444","125,223","125,223"
..NHPI,"2,914","2,819","2,733","2,681","2,629","2,578","2,545","2,510","2,472","2,397","2,378","2,378"
.Two or More Races,"50,032","48,372","46,688","45,078","43,677","42,249","41,037","39,780","38,338","36,645","36,285","36,285"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,957,717","2,944,772","2,933,466","2,927,297","2,931,443","2,939,923","2,949,141","2,953,903","2,952,779","2,942,832","2,938,314","2,938,303"
..Black,"267,233","262,330","257,797","253,464","249,605","246,505","243,789","240,294","236,010","230,452","229,564","229,564"
..AIAN,"23,192","22,720","22,298","22,014","21,804","21,564","21,365","21,128","20,885","20,388","20,367","20,367"
..Asian,"187,793","181,530","175,812","170,919","165,981","161,119","156,158","151,208","145,014","137,708","136,175","136,175"
..NHPI,"6,249","6,047","5,887","5,711","5,600","5,439","5,352","5,235","5,105","4,916","4,867","4,867"
