table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Michigan: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"9,969,727","10,002,486","10,050,847","10,082,438","10,090,554","10,089,305","10,066,351","10,038,767","10,006,093","9,955,308","9,938,492","9,938,444"
.One Race,"9,813,877","9,849,232","9,899,414","9,932,893","9,943,647","9,945,143","9,925,267","9,900,704","9,871,287","9,823,819","9,808,197","9,808,153"
..White,"8,091,776","8,123,892","8,167,297","8,197,275","8,211,848","8,218,599","8,207,645","8,194,157","8,177,387","8,147,140","8,137,605","8,137,537"
..Black,"1,413,582","1,420,728","1,430,442","1,437,896","1,440,140","1,442,364","1,441,349","1,440,457","1,437,522","1,430,202","1,426,326","1,426,340"
..AIAN,"62,485","62,251","62,078","62,082","61,845","61,592","61,276","61,013","60,734","60,497","60,255","60,253"
..Asian,"241,597","238,029","235,336","231,495","225,812","218,721","211,279","201,538","192,274","182,850","180,904","180,915"
..NHPI,"4,437","4,332","4,261","4,145","4,002","3,867","3,718","3,539","3,370","3,130","3,107","3,108"
.Two or More Races,"155,850","153,254","151,433","149,545","146,907","144,162","141,084","138,063","134,806","131,489","130,295","130,291"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"8,231,480","8,261,139","8,302,803","8,330,958","8,343,085","8,347,288","8,333,427","8,317,089","8,297,327","8,264,029","8,253,689","8,253,619"
..Black,"1,488,942","1,493,867","1,501,962","1,507,745","1,507,965","1,508,255","1,505,057","1,502,132","1,497,077","1,487,624","1,482,661","1,482,674"
..AIAN,"128,335","128,201","128,404","128,745","128,490","128,081","127,533","126,956","126,274","125,618","125,332","125,330"
..Asian,"278,325","273,977","270,629","266,071","259,552","251,536","243,124","232,420","222,107","211,590","209,179","209,186"
..NHPI,"10,037","9,862","9,684","9,486","9,202","8,920","8,639","8,354","7,994","7,604","7,505","7,503"
.NOT HISPANIC,"9,548,621","9,588,575","9,644,327","9,683,468","9,701,512","9,710,832","9,698,811","9,682,909","9,662,943","9,628,256","9,614,598","9,614,567"
..One Race,"9,403,174","9,445,553","9,502,928","9,543,742","9,564,156","9,575,967","9,566,743","9,553,579","9,536,622","9,504,940","9,492,371","9,492,341"
...White,"7,715,494","7,753,766","7,803,646","7,840,463","7,863,953","7,880,335","7,879,227","7,876,200","7,871,040","7,855,417","7,848,701","7,848,645"
...Black,"1,391,802","1,399,563","1,409,720","1,417,377","1,419,951","1,422,468","1,421,799","1,421,318","1,418,864","1,412,236","1,408,522","1,408,536"
...AIAN,"54,586","54,508","54,499","54,611","54,538","54,474","54,356","54,265","54,163","54,163","53,981","53,981"
...Asian,"238,258","234,758","232,150","228,443","222,949","216,007","208,752","199,264","190,138","180,882","178,940","178,951"
...NHPI,"3,034","2,958","2,913","2,848","2,765","2,683","2,609","2,532","2,417","2,242","2,227","2,228"
..Two or More Races,"145,447","143,022","141,399","139,726","137,356","134,865","132,068","129,330","126,321","123,316","122,227","122,226"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"7,845,989","7,881,931","7,930,256","7,965,438","7,986,692","8,000,754","7,996,985","7,991,354","7,983,409","7,965,023","7,957,583","7,957,525"
...Black,"1,462,323","1,467,976","1,476,614","1,482,728","1,483,424","1,484,104","1,481,427","1,479,048","1,474,575","1,465,988","1,461,252","1,461,267"
...AIAN,"114,880","115,004","115,438","115,940","115,961","115,854","115,631","115,339","114,951","114,669","114,464","114,464"
...Asian,"272,974","268,764","265,542","261,200","254,924","247,142","238,961","228,616","218,491","208,206","205,845","205,855"
...NHPI,"7,850","7,751","7,617","7,505","7,310","7,124","6,942","6,779","6,504","6,199","6,127","6,128"
.HISPANIC,"421,106","413,911","406,520","398,970","389,042","378,473","367,540","355,858","343,150","327,052","323,894","323,877"
..One Race,"410,703","403,679","396,486","389,151","379,491","369,176","358,524","347,125","334,665","318,879","315,826","315,812"
...White,"376,282","370,126","363,651","356,812","347,895","338,264","328,418","317,957","306,347","291,723","288,904","288,892"
...Black,"21,780","21,165","20,722","20,519","20,189","19,896","19,550","19,139","18,658","17,966","17,804","17,804"
...AIAN,"7,899","7,743","7,579","7,471","7,307","7,118","6,920","6,748","6,571","6,334","6,274","6,272"
...Asian,"3,339","3,271","3,186","3,052","2,863","2,714","2,527","2,274","2,136","1,968","1,964","1,964"
...NHPI,"1,403","1,374","1,348","1,297","1,237","1,184","1,109","1,007",953,888,880,880
..Two or More Races,"10,403","10,232","10,034","9,819","9,551","9,297","9,016","8,733","8,485","8,173","8,068","8,065"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"385,491","379,208","372,547","365,520","356,393","346,534","336,442","325,735","313,918","299,006","296,106","296,094"
...Black,"26,619","25,891","25,348","25,017","24,541","24,151","23,630","23,084","22,502","21,636","21,409","21,407"
...AIAN,"13,455","13,197","12,966","12,805","12,529","12,227","11,902","11,617","11,323","10,949","10,868","10,866"
...Asian,"5,351","5,213","5,087","4,871","4,628","4,394","4,163","3,804","3,616","3,384","3,334","3,331"
...NHPI,"2,187","2,111","2,067","1,981","1,892","1,796","1,697","1,575","1,490","1,405","1,378","1,375"
MALE,"4,902,854","4,919,592","4,944,560","4,961,014","4,963,305","4,959,491","4,947,458","4,930,484","4,911,012","4,882,119","4,873,120","4,873,095"
.One Race,"4,825,710","4,843,738","4,869,666","4,887,143","4,890,806","4,888,497","4,877,972","4,862,515","4,844,759","4,817,605","4,809,206","4,809,182"
..White,"4,004,372","4,019,976","4,042,193","4,057,247","4,062,718","4,063,595","4,056,610","4,046,859","4,035,680","4,017,160","4,011,813","4,011,777"
..Black,"667,697","671,742","676,782","680,935","681,893","682,624","682,964","682,635","680,979","677,360","675,434","675,445"
..AIAN,"31,313","31,253","31,134","31,126","30,990","30,853","30,717","30,520","30,395","30,276","30,151","30,150"
..Asian,"120,107","118,603","117,407","115,746","113,182","109,453","105,778","100,687","95,972","91,191","90,202","90,204"
..NHPI,"2,221","2,164","2,150","2,089","2,023","1,972","1,903","1,814","1,733","1,618","1,606","1,606"
.Two or More Races,"77,144","75,854","74,894","73,871","72,499","70,994","69,486","67,969","66,253","64,514","63,914","63,913"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,073,633","4,088,004","4,109,307","4,123,389","4,127,576","4,127,056","4,118,656","4,107,468","4,094,707","4,074,608","4,068,972","4,068,934"
..Black,"704,799","707,733","711,901","715,178","715,077","714,771","714,018","712,669","709,883","705,163","702,577","702,589"
..AIAN,"63,072","63,056","63,144","63,272","63,108","62,869","62,626","62,285","61,945","61,585","61,478","61,477"
..Asian,"139,126","137,238","135,687","133,664","130,676","126,432","122,260","116,676","111,418","106,064","104,796","104,797"
..NHPI,"5,018","4,927","4,857","4,748","4,628","4,500","4,359","4,229","4,040","3,857","3,804","3,804"
.NOT HISPANIC,"4,682,424","4,702,542","4,731,102","4,751,154","4,758,311","4,760,011","4,753,709","4,742,908","4,730,201","4,709,841","4,702,559","4,702,540"
..One Race,"4,610,478","4,631,804","4,661,219","4,682,178","4,690,565","4,693,632","4,688,686","4,679,251","4,668,129","4,649,342","4,642,610","4,642,592"
...White,"3,806,560","3,825,042","3,850,396","3,868,698","3,878,517","3,884,405","3,882,588","3,878,376","3,873,389","3,862,606","3,858,801","3,858,770"
...Black,"656,960","661,300","666,548","670,784","671,890","672,772","673,280","673,159","671,747","668,502","666,659","666,670"
...AIAN,"27,129","27,145","27,106","27,153","27,114","27,085","27,048","26,935","26,913","26,926","26,834","26,834"
...Asian,"118,378","116,908","115,760","114,169","111,702","108,049","104,479","99,524","94,877","90,184","89,200","89,202"
...NHPI,"1,451","1,409","1,409","1,374","1,342","1,321","1,291","1,257","1,203","1,124","1,116","1,116"
..Two or More Races,"71,946","70,738","69,883","68,976","67,746","66,379","65,023","63,657","62,072","60,499","59,949","59,948"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,871,233","3,888,553","3,913,086","3,930,505","3,939,165","3,943,777","3,940,669","3,935,157","3,928,697","3,916,480","3,912,423","3,912,390"
...Black,"691,668","694,937","699,368","702,789","702,910","702,818","702,340","701,264","698,778","694,525","692,063","692,075"
...AIAN,"56,150","56,284","56,471","56,697","56,687","56,615","56,542","56,344","56,164","56,006","55,936","55,936"
...Asian,"136,343","134,518","133,041","131,132","128,268","124,147","120,112","114,714","109,558","104,326","103,084","103,085"
...NHPI,"3,849","3,796","3,753","3,685","3,613","3,540","3,447","3,379","3,236","3,099","3,062","3,062"
.HISPANIC,"220,430","217,050","213,458","209,860","204,994","199,480","193,749","187,576","180,811","172,278","170,561","170,555"
..One Race,"215,232","211,934","208,447","204,965","200,241","194,865","189,286","183,264","176,630","168,263","166,596","166,590"
...White,"197,812","194,934","191,797","188,549","184,201","179,190","174,022","168,483","162,291","154,554","153,012","153,007"
...Black,"10,737","10,442","10,234","10,151","10,003","9,852","9,684","9,476","9,232","8,858","8,775","8,775"
...AIAN,"4,184","4,108","4,028","3,973","3,876","3,768","3,669","3,585","3,482","3,350","3,317","3,316"
...Asian,"1,729","1,695","1,647","1,577","1,480","1,404","1,299","1,163","1,095","1,007","1,002","1,002"
...NHPI,770,755,741,715,681,651,612,557,530,494,490,490
..Two or More Races,"5,198","5,116","5,011","4,895","4,753","4,615","4,463","4,312","4,181","4,015","3,965","3,965"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"202,400","199,451","196,221","192,884","188,411","183,279","177,987","172,311","166,010","158,128","156,549","156,544"
...Black,"13,131","12,796","12,533","12,389","12,167","11,953","11,678","11,405","11,105","10,638","10,514","10,514"
...AIAN,"6,922","6,772","6,673","6,575","6,421","6,254","6,084","5,941","5,781","5,579","5,542","5,541"
...Asian,"2,783","2,720","2,646","2,532","2,408","2,285","2,148","1,962","1,860","1,738","1,712","1,712"
...NHPI,"1,169","1,131","1,104","1,063","1,015",960,912,850,804,758,742,742
FEMALE,"5,066,873","5,082,894","5,106,287","5,121,424","5,127,249","5,129,814","5,118,893","5,108,283","5,095,081","5,073,189","5,065,372","5,065,349"
.One Race,"4,988,167","5,005,494","5,029,748","5,045,750","5,052,841","5,056,646","5,047,295","5,038,189","5,026,528","5,006,214","4,998,991","4,998,971"
..White,"4,087,404","4,103,916","4,125,104","4,140,028","4,149,130","4,155,004","4,151,035","4,147,298","4,141,707","4,129,980","4,125,792","4,125,760"
..Black,"745,885","748,986","753,660","756,961","758,247","759,740","758,385","757,822","756,543","752,842","750,892","750,895"
..AIAN,"31,172","30,998","30,944","30,956","30,855","30,739","30,559","30,493","30,339","30,221","30,104","30,103"
..Asian,"121,490","119,426","117,929","115,749","112,630","109,268","105,501","100,851","96,302","91,659","90,702","90,711"
..NHPI,"2,216","2,168","2,111","2,056","1,979","1,895","1,815","1,725","1,637","1,512","1,501","1,502"
.Two or More Races,"78,706","77,400","76,539","75,674","74,408","73,168","71,598","70,094","68,553","66,975","66,381","66,378"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,157,847","4,173,135","4,193,496","4,207,569","4,215,509","4,220,232","4,214,771","4,209,621","4,202,620","4,189,421","4,184,717","4,184,685"
..Black,"784,143","786,134","790,061","792,567","792,888","793,484","791,039","789,463","787,194","782,461","780,084","780,085"
..AIAN,"65,263","65,145","65,260","65,473","65,382","65,212","64,907","64,671","64,329","64,033","63,854","63,853"
..Asian,"139,199","136,739","134,942","132,407","128,876","125,104","120,864","115,744","110,689","105,526","104,383","104,389"
