table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Minnesota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"5,266,214","5,230,567","5,191,206","5,148,346","5,106,560","5,079,344","5,047,862","5,017,458","4,982,813","4,933,958","4,919,492","4,919,479"
.One Race,"5,183,395","5,150,051","5,113,399","5,073,288","5,034,076","5,008,957","4,979,717","4,951,263","4,918,690","4,872,001","4,858,244","4,858,231"
..White,"4,664,703","4,642,051","4,619,105","4,596,217","4,575,073","4,563,922","4,549,127","4,534,264","4,516,102","4,485,603","4,474,420","4,474,401"
..Black,"249,909","245,195","238,429","229,192","219,427","212,225","204,392","196,899","189,379","180,602","179,951","179,957"
..AIAN,"66,640","65,980","64,809","63,291","61,813","60,485","59,305","58,341","57,433","56,359","56,086","56,086"
..Asian,"198,574","193,352","187,694","181,426","174,932","169,550","164,264","159,266","153,411","147,189","145,550","145,550"
..NHPI,"3,569","3,473","3,362","3,162","2,831","2,775","2,629","2,493","2,365","2,248","2,237","2,237"
.Two or More Races,"82,819","80,516","77,807","75,058","72,484","70,387","68,145","66,195","64,123","61,957","61,248","61,248"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,739,079","4,714,276","4,688,798","4,663,381","4,639,913","4,626,800","4,609,920","4,593,263","4,573,202","4,540,710","4,528,897","4,528,878"
..Black,"288,463","282,222","273,756","262,832","251,563","243,035","233,870","225,261","216,546","206,591","205,525","205,531"
..AIAN,"95,130","94,233","92,677","90,717","88,838","87,253","85,792","84,574","83,396","81,971","81,608","81,608"
..Asian,"223,232","217,322","210,836","203,660","196,283","190,203","184,137","178,437","171,846","164,846","162,957","162,957"
..NHPI,"8,881","8,676","8,388","8,028","7,446","7,306","7,018","6,689","6,407","6,129","5,993","5,993"
.NOT HISPANIC,"5,039,830","5,011,964","4,981,365","4,947,805","4,915,728","4,897,367","4,874,475","4,852,689","4,827,025","4,788,994","4,776,110","4,776,097"
..One Race,"4,963,328","4,937,568","4,909,375","4,878,181","4,848,307","4,831,735","4,810,864","4,790,887","4,767,157","4,731,134","4,718,902","4,718,889"
...White,"4,468,132","4,452,600","4,436,738","4,420,256","4,406,064","4,401,069","4,393,059","4,385,931","4,375,854","4,355,146","4,345,402","4,345,383"
...Black,"238,033","233,629","227,736","219,873","211,383","205,402","198,342","191,180","184,004","175,649","175,043","175,049"
...AIAN,"58,599","58,071","57,223","56,443","55,700","55,142","54,533","53,904","53,328","52,591","52,351","52,351"
...Asian,"195,818","190,618","185,121","179,167","172,975","167,908","162,811","157,880","152,089","145,957","144,325","144,325"
...NHPI,"2,746","2,650","2,557","2,442","2,185","2,214","2,119","1,992","1,882","1,791","1,781","1,781"
..Two or More Races,"76,502","74,396","71,990","69,624","67,421","65,632","63,611","61,802","59,868","57,860","57,208","57,208"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,536,790","4,519,259","4,501,149","4,482,471","4,466,290","4,459,614","4,449,726","4,440,928","4,429,079","4,406,535","4,396,203","4,396,184"
...Black,"273,119","267,312","259,916","250,589","240,793","233,669","225,419","217,207","208,901","199,480","198,494","198,500"
...AIAN,"84,192","83,500","82,377","81,321","80,345","79,647","78,823","78,008","77,194","76,156","75,848","75,848"
...Asian,"219,406","213,563","207,280","200,505","193,498","187,799","181,963","176,359","169,876","162,977","161,111","161,111"
...NHPI,"7,666","7,480","7,243","6,992","6,510","6,477","6,256","5,952","5,705","5,456","5,338","5,338"
.HISPANIC,"226,384","218,603","209,841","200,541","190,832","181,977","173,387","164,769","155,788","144,964","143,382","143,382"
..One Race,"220,067","212,483","204,024","195,107","185,769","177,222","168,853","160,376","151,533","140,867","139,342","139,342"
...White,"196,571","189,451","182,367","175,961","169,009","162,853","156,068","148,333","140,248","130,457","129,018","129,018"
...Black,"11,876","11,566","10,693","9,319","8,044","6,823","6,050","5,719","5,375","4,953","4,908","4,908"
...AIAN,"8,041","7,909","7,586","6,848","6,113","5,343","4,772","4,437","4,105","3,768","3,735","3,735"
...Asian,"2,756","2,734","2,573","2,259","1,957","1,642","1,453","1,386","1,322","1,232","1,225","1,225"
...NHPI,823,823,805,720,646,561,510,501,483,457,456,456
