table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Mississippi: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,951,996","2,940,212","2,921,723","2,897,150","2,900,116","2,886,006","2,867,678","2,858,643","2,853,313","2,848,310","2,844,666","2,844,658"
.One Race,"2,924,399","2,913,644","2,896,559","2,873,590","2,877,546","2,864,814","2,847,930","2,840,137","2,836,124","2,832,356","2,828,841","2,828,833"
..White,"1,784,587","1,780,831","1,776,021","1,766,053","1,778,774","1,773,807","1,766,266","1,763,412","1,762,617","1,762,513","1,761,523","1,761,521"
..Black,"1,097,462","1,091,578","1,080,701","1,069,064","1,060,735","1,054,364","1,046,494","1,042,780","1,040,732","1,037,911","1,035,617","1,035,611"
..AIAN,"15,500","15,187","14,795","14,416","14,072","13,698","13,203","12,722","12,313","11,938","11,906","11,906"
..Asian,"25,726","24,958","23,979","23,055","22,966","21,993","21,072","20,364","19,660","19,235","19,039","19,039"
..NHPI,"1,124","1,090","1,063","1,002",999,952,895,859,802,759,756,756
.Two or More Races,"27,597","26,568","25,164","23,560","22,570","21,192","19,748","18,506","17,189","15,954","15,825","15,825"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,807,322","1,802,698","1,796,748","1,785,371","1,797,241","1,791,093","1,782,332","1,778,418","1,776,516","1,775,343","1,774,249","1,774,247"
..Black,"1,111,602","1,105,046","1,093,339","1,080,748","1,071,815","1,064,647","1,055,911","1,051,471","1,048,653","1,045,123","1,042,768","1,042,762"
..AIAN,"26,185","25,685","24,922","24,134","23,579","22,861","21,969","21,200","20,418","19,688","19,648","19,648"
..Asian,"33,854","32,724","31,272","29,861","29,435","27,993","26,628","25,516","24,396","23,626","23,358","23,358"
..NHPI,"3,128","3,004","2,883","2,706","2,631","2,510","2,359","2,230","2,098","1,966","1,937","1,937"
.NOT HISPANIC,"2,877,549","2,869,469","2,855,379","2,835,974","2,842,511","2,832,613","2,817,783","2,811,973","2,809,878","2,808,374","2,805,096","2,805,089"
..One Race,"2,851,450","2,844,325","2,831,554","2,813,666","2,821,158","2,812,566","2,799,128","2,794,512","2,793,682","2,793,362","2,790,212","2,790,205"
