table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"5,987,580","5,956,335","5,909,824","5,861,572","5,806,639","5,758,444","5,714,847","5,680,852","5,643,986","5,606,065","5,596,684","5,595,211"
.One Race,"5,899,433","5,870,540","5,826,549","5,781,039","5,728,701","5,683,315","5,642,084","5,610,309","5,575,883","5,540,505","5,531,747","5,530,298"
..White,"5,084,023","5,063,282","5,028,428","4,991,519","4,950,645","4,915,793","4,884,787","4,861,481","4,836,460","4,810,938","4,804,780","4,803,820"
..Black,"688,360","683,480","677,835","673,079","665,905","659,570","653,383","648,515","642,847","636,567","634,767","634,289"
..AIAN,"31,135","30,702","30,204","29,481","28,886","28,338","27,641","27,079","26,551","25,905","25,795","25,782"
..Asian,"91,035","88,337","85,480","82,550","79,070","75,630","72,412","69,506","66,476","63,711","63,044","63,046"
..NHPI,"4,880","4,739","4,602","4,410","4,195","3,984","3,861","3,728","3,549","3,384","3,361","3,361"
.Two or More Races,"88,147","85,795","83,275","80,533","77,938","75,129","72,763","70,543","68,103","65,560","64,937","64,913"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,164,196","5,141,257","5,104,041","5,064,559","5,021,230","4,983,771","4,950,555","4,925,119","4,897,808","4,869,893","4,863,496","4,862,516"
..Black,"725,657","719,262","712,068","705,644","696,905","688,972","681,377","675,181","668,156","660,428","658,246","657,761"
..AIAN,"70,268","69,475","68,511","67,256","66,178","64,976","63,794","62,772","61,682","60,490","60,388","60,361"
..Asian,"111,298","107,956","104,406","100,730","96,487","92,226","88,364","84,825","81,108","77,621","76,576","76,572"
..NHPI,"9,722","9,460","9,203","8,830","8,485","8,097","7,869","7,636","7,325","7,044","6,724","6,722"
