table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nebraska: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,796,619","1,781,949","1,769,912","1,760,435","1,751,721","1,742,184","1,733,680","1,725,083","1,717,948","1,713,345","1,711,265","1,711,263"
.One Race,"1,772,596","1,758,891","1,747,749","1,739,135","1,731,299","1,722,494","1,714,836","1,706,979","1,700,553","1,696,757","1,694,817","1,694,815"
..White,"1,637,009","1,626,468","1,618,889","1,613,122","1,608,392","1,602,056","1,597,134","1,592,100","1,588,313","1,587,120","1,585,619","1,585,617"
..Black,"83,400","81,626","79,604","78,342","76,602","75,414","74,116","72,737","71,638","70,193","70,043","70,043"
..AIAN,"19,999","19,720","19,244","18,496","17,825","17,345","16,828","16,461","16,079","15,684","15,634","15,634"
..Asian,"30,509","29,491","28,520","27,745","27,145","26,443","25,575","24,543","23,459","22,752","22,528","22,528"
..NHPI,"1,679","1,586","1,492","1,430","1,335","1,236","1,183","1,138","1,064","1,008",993,993
.Two or More Races,"24,023","23,058","22,163","21,300","20,422","19,690","18,844","18,104","17,395","16,588","16,448","16,448"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,659,020","1,647,567","1,639,170","1,632,591","1,627,041","1,620,038","1,614,301","1,608,598","1,604,114","1,602,176","1,600,578","1,600,576"
..Black,"94,353","92,051","89,513","87,741","85,506","83,859","82,138","80,359","78,863","77,004","76,726","76,726"
..AIAN,"28,506","27,974","27,357","26,444","25,601","24,999","24,292","23,760","23,266","22,692","22,645","22,645"
..Asian,"37,379","36,080","34,791","33,777","32,907","31,961","30,829","29,543","28,221","27,260","26,970","26,970"
..NHPI,"2,931","2,801","2,641","2,532","2,390","2,243","2,167","2,058","1,965","1,854","1,809","1,809"
.NOT HISPANIC,"1,646,149","1,638,854","1,632,787","1,629,108","1,626,159","1,622,042","1,618,844","1,616,505","1,616,080","1,618,073","1,616,841","1,616,838"
..One Race,"1,624,612","1,618,116","1,612,788","1,609,832","1,607,635","1,604,151","1,601,713","1,600,020","1,600,187","1,602,861","1,601,761","1,601,758"
...White,"1,499,331","1,495,448","1,492,974","1,491,921","1,491,931","1,490,212","1,490,079","1,490,722","1,493,012","1,497,791","1,497,114","1,497,111"
...Black,"78,651","77,283","75,670","74,730","73,368","72,517","71,464","70,370","69,579","68,459","68,311","68,311"
...AIAN,"15,763","15,587","15,329","15,055","14,806","14,621","14,265","14,081","13,874","13,604","13,568","13,568"
...Asian,"29,596","28,609","27,705","27,051","26,542","25,896","25,049","24,035","22,975","22,307","22,083","22,083"
...NHPI,"1,271","1,189","1,110","1,075",988,905,856,812,747,700,685,685
..Two or More Races,"21,537","20,738","19,999","19,276","18,524","17,891","17,131","16,485","15,893","15,212","15,080","15,080"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,519,172","1,514,532","1,511,359","1,509,627","1,508,919","1,506,609","1,505,754","1,505,796","1,507,502","1,511,649","1,510,875","1,510,872"
...Black,"88,666","86,821","84,780","83,378","81,567","80,317","78,860","77,393","76,266","74,784","74,524","74,524"
...AIAN,"22,917","22,592","22,260","21,876","21,522","21,271","20,751","20,470","20,191","19,798","19,757","19,757"
...Asian,"35,865","34,637","33,461","32,612","31,864","30,990","29,911","28,665","27,402","26,510","26,229","26,229"
...NHPI,"2,278","2,176","2,060","1,979","1,872","1,764","1,683","1,598","1,520","1,426","1,389","1,389"
.HISPANIC,"150,470","143,095","137,125","131,327","125,562","120,142","114,836","108,578","101,868","95,272","94,424","94,425"
..One Race,"147,984","140,775","134,961","129,303","123,664","118,343","113,123","106,959","100,366","93,896","93,056","93,057"
...White,"137,678","131,020","125,915","121,201","116,461","111,844","107,055","101,378","95,301","89,329","88,505","88,506"
...Black,"4,749","4,343","3,934","3,612","3,234","2,897","2,652","2,367","2,059","1,734","1,732","1,732"
...AIAN,"4,236","4,133","3,915","3,441","3,019","2,724","2,563","2,380","2,205","2,080","2,066","2,066"
...Asian,913,882,815,694,603,547,526,508,484,445,445,445
...NHPI,408,397,382,355,347,331,327,326,317,308,308,308
..Two or More Races,"2,486","2,320","2,164","2,024","1,898","1,799","1,713","1,619","1,502","1,376","1,368","1,368"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"139,848","133,035","127,811","122,964","118,122","113,429","108,547","102,802","96,612","90,527","89,703","89,704"
...Black,"5,687","5,230","4,733","4,363","3,939","3,542","3,278","2,966","2,597","2,220","2,202","2,202"
...AIAN,"5,589","5,382","5,097","4,568","4,079","3,728","3,541","3,290","3,075","2,894","2,888","2,888"
...Asian,"1,514","1,443","1,330","1,165","1,043",971,918,878,819,750,741,741
...NHPI,653,625,581,553,518,479,484,460,445,428,420,420
MALE,"891,652","883,728","876,773","872,122","867,312","861,971","856,880","851,959","847,828","844,585","843,352","843,351"
.One Race,"879,763","872,297","865,840","861,596","857,240","852,268","847,610","843,112","839,355","836,530","835,372","835,371"
..White,"812,065","806,292","801,790","798,886","796,220","792,619","789,279","786,293","783,948","782,526","781,604","781,603"
..Black,"42,054","41,043","39,829","39,284","38,307","37,601","36,962","36,124","35,540","34,735","34,652","34,652"
..AIAN,"9,962","9,825","9,625","9,210","8,813","8,561","8,320","8,176","7,973","7,743","7,714","7,714"
..Asian,"14,790","14,280","13,786","13,433","13,164","12,809","12,400","11,894","11,308","10,973","10,864","10,864"
..NHPI,892,857,810,783,736,678,649,625,586,553,538,538
.Two or More Races,"11,889","11,431","10,933","10,526","10,072","9,703","9,270","8,847","8,473","8,055","7,980","7,980"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"822,967","816,764","811,802","808,512","805,423","801,488","797,739","794,366","791,658","789,847","788,869","788,868"
..Black,"47,581","46,302","44,814","44,013","42,756","41,820","40,956","39,880","39,089","38,066","37,921","37,921"
..AIAN,"14,110","13,864","13,574","13,083","12,607","12,278","11,956","11,715","11,450","11,113","11,087","11,087"
..Asian,"18,137","17,501","16,836","16,371","15,984","15,508","14,961","14,316","13,605","13,151","13,010","13,010"
..NHPI,"1,520","1,450","1,380","1,324","1,259","1,193","1,136","1,084","1,032",979,946,946
.NOT HISPANIC,"810,860","806,764","802,862","801,240","799,360","796,767","794,387","792,766","792,297","792,667","791,915","791,913"
..One Race,"800,229","796,506","793,022","791,737","790,248","787,974","785,982","784,734","784,580","785,304","784,624","784,622"
...White,"737,965","735,658","733,779","733,324","733,049","731,772","730,882","730,895","731,877","733,740","733,286","733,284"
...Black,"39,584","38,777","37,764","37,377","36,603","36,071","35,544","34,855","34,431","33,795","33,713","33,713"
...AIAN,"7,708","7,622","7,521","7,380","7,207","7,118","6,970","6,915","6,809","6,648","6,628","6,628"
...Asian,"14,325","13,831","13,378","13,088","12,865","12,535","12,134","11,641","11,068","10,753","10,644","10,644"
...NHPI,647,618,580,568,524,478,452,428,395,368,353,353
..Two or More Races,"10,631","10,258","9,840","9,503","9,112","8,793","8,405","8,032","7,717","7,363","7,291","7,291"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"747,765","745,100","742,825","742,053","741,405","739,834","738,576","738,248","738,919","740,454","739,943","739,941"
...Black,"44,612","43,580","42,327","41,708","40,692","39,954","39,213","38,306","37,706","36,870","36,735","36,735"
...AIAN,"11,209","11,051","10,901","10,710","10,479","10,349","10,131","10,011","9,867","9,632","9,608","9,608"
...Asian,"17,374","16,778","16,179","15,798","15,472","15,028","14,505","13,880","13,198","12,780","12,644","12,644"
...NHPI,"1,160","1,110","1,053","1,021",968,922,869,824,779,736,707,707
.HISPANIC,"80,792","76,964","73,911","70,882","67,952","65,204","62,493","59,193","55,531","51,918","51,437","51,438"
..One Race,"79,534","75,791","72,818","69,859","66,992","64,294","61,628","58,378","54,775","51,226","50,748","50,749"
...White,"74,100","70,634","68,011","65,562","63,171","60,847","58,397","55,398","52,071","48,786","48,318","48,319"
...Black,"2,470","2,266","2,065","1,907","1,704","1,530","1,418","1,269","1,109",940,939,939
...AIAN,"2,254","2,203","2,104","1,830","1,606","1,443","1,350","1,261","1,164","1,095","1,086","1,086"
...Asian,465,449,408,345,299,274,266,253,240,220,220,220
...NHPI,245,239,230,215,212,200,197,197,191,185,185,185
..Two or More Races,"1,258","1,173","1,093","1,023",960,910,865,815,756,692,689,689
..Race alone or in combination:1,,,,,,,,,,,,
...White,"75,202","71,664","68,977","66,459","64,018","61,654","59,163","56,118","52,739","49,393","48,926","48,927"
...Black,"2,969","2,722","2,487","2,305","2,064","1,866","1,743","1,574","1,383","1,196","1,186","1,186"
...AIAN,"2,901","2,813","2,673","2,373","2,128","1,929","1,825","1,704","1,583","1,481","1,479","1,479"
...Asian,763,723,657,573,512,480,456,436,407,371,366,366
...NHPI,360,340,327,303,291,271,267,260,253,243,239,239
FEMALE,"904,967","898,221","893,139","888,313","884,409","880,213","876,800","873,124","870,120","868,760","867,913","867,912"
.One Race,"892,833","886,594","881,909","877,539","874,059","870,226","867,226","863,867","861,198","860,227","859,445","859,444"
..White,"824,944","820,176","817,099","814,236","812,172","809,437","807,855","805,807","804,365","804,594","804,015","804,014"
..Black,"41,346","40,583","39,775","39,058","38,295","37,813","37,154","36,613","36,098","35,458","35,391","35,391"
..AIAN,"10,037","9,895","9,619","9,286","9,012","8,784","8,508","8,285","8,106","7,941","7,920","7,920"
..Asian,"15,719","15,211","14,734","14,312","13,981","13,634","13,175","12,649","12,151","11,779","11,664","11,664"
..NHPI,787,729,682,647,599,558,534,513,478,455,455,455
.Two or More Races,"12,134","11,627","11,230","10,774","10,350","9,987","9,574","9,257","8,922","8,533","8,468","8,468"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"836,053","830,803","827,368","824,079","821,618","818,550","816,562","814,232","812,456","812,329","811,709","811,708"
..Black,"46,772","45,749","44,699","43,728","42,750","42,039","41,182","40,479","39,774","38,938","38,805","38,805"
..AIAN,"14,396","14,110","13,783","13,361","12,994","12,721","12,336","12,045","11,816","11,579","11,558","11,558"
..Asian,"19,242","18,579","17,955","17,406","16,923","16,453","15,868","15,227","14,616","14,109","13,960","13,960"
..NHPI,"1,411","1,351","1,261","1,208","1,131","1,050","1,031",974,933,875,863,863
.NOT HISPANIC,"835,289","832,090","829,925","827,868","826,799","825,275","824,457","823,739","823,783","825,406","824,926","824,925"
..One Race,"824,383","821,610","819,766","818,095","817,387","816,177","815,731","815,286","815,607","817,557","817,137","817,136"
...White,"761,366","759,790","759,195","758,597","758,882","758,440","759,197","759,827","761,135","764,051","763,828","763,827"
...Black,"39,067","38,506","37,906","37,353","36,765","36,446","35,920","35,515","35,148","34,664","34,598","34,598"
...AIAN,"8,055","7,965","7,808","7,675","7,599","7,503","7,295","7,166","7,065","6,956","6,940","6,940"
...Asian,"15,271","14,778","14,327","13,963","13,677","13,361","12,915","12,394","11,907","11,554","11,439","11,439"
...NHPI,624,571,530,507,464,427,404,384,352,332,332,332
..Two or More Races,"10,906","10,480","10,159","9,773","9,412","9,098","8,726","8,453","8,176","7,849","7,789","7,789"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"771,407","769,432","768,534","767,574","767,514","766,775","767,178","767,548","768,583","771,195","770,932","770,931"
...Black,"44,054","43,241","42,453","41,670","40,875","40,363","39,647","39,087","38,560","37,914","37,789","37,789"
...AIAN,"11,708","11,541","11,359","11,166","11,043","10,922","10,620","10,459","10,324","10,166","10,149","10,149"
...Asian,"18,491","17,859","17,282","16,814","16,392","15,962","15,406","14,785","14,204","13,730","13,585","13,585"
...NHPI,"1,118","1,066","1,007",958,904,842,814,774,741,690,682,682
