table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Nevada: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,643,085","2,615,772","2,567,752","2,493,405","2,408,804","2,328,703","2,236,949","2,166,214","2,094,509","2,018,211","1,998,260","1,998,257"
.One Race,"2,569,332","2,543,995","2,498,756","2,428,067","2,347,155","2,270,691","2,182,590","2,114,834","2,046,022","1,972,905","1,953,701","1,953,698"
..White,"2,122,890","2,107,022","2,077,211","2,028,319","1,972,251","1,918,810","1,853,223","1,803,051","1,752,845","1,698,401","1,682,524","1,682,521"
..Black,"218,469","214,148","207,477","198,063","186,595","176,110","165,626","158,129","150,002","141,400","140,122","140,122"
..AIAN,"39,588","39,082","38,240","36,692","35,246","33,864","32,446","31,143","29,959","28,606","28,282","28,282"
..Asian,"173,909","169,496","162,059","151,878","140,725","130,216","120,241","111,936","103,268","95,205","93,605","93,605"
..NHPI,"14,476","14,247","13,769","13,115","12,338","11,691","11,054","10,575","9,948","9,293","9,168","9,168"
.Two or More Races,"73,753","71,777","68,996","65,338","61,649","58,012","54,359","51,380","48,487","45,306","44,559","44,559"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,186,653","2,169,010","2,136,758","2,084,633","2,025,358","1,968,732","1,899,912","1,847,136","1,794,435","1,737,254","1,720,701","1,720,698"
..Black,"242,126","236,905","229,150","218,373","205,561","193,841","182,061","173,529","164,401","154,726","153,173","153,173"
..AIAN,"60,283","59,598","58,337","56,086","53,876","51,730","49,541","47,595","45,827","43,789","43,275","43,275"
..Asian,"208,271","202,852","193,992","181,976","168,995","156,646","144,870","135,076","124,971","115,295","113,372","113,372"
..NHPI,"27,424","26,812","25,794","24,478","22,994","21,658","20,372","19,337","18,103","16,800","16,582","16,582"
