table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Hampshire: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,324,575","1,321,872","1,317,343","1,311,894","1,301,415","1,292,766","1,281,871","1,271,163","1,256,879","1,240,446","1,235,791","1,235,786"
.One Race,"1,310,166","1,307,803","1,303,758","1,298,693","1,288,748","1,280,499","1,270,029","1,259,819","1,246,098","1,230,226","1,225,686","1,225,681"
..White,"1,261,735","1,260,645","1,258,153","1,254,761","1,246,784","1,240,729","1,232,296","1,224,359","1,213,152","1,200,238","1,195,971","1,195,966"
..Black,"18,114","17,428","16,700","15,934","14,889","13,919","13,026","12,039","11,122","9,989","9,943","9,943"
..AIAN,"3,848","3,803","3,752","3,645","3,550","3,489","3,415","3,315","3,187","3,084","3,068","3,068"
..Asian,"25,931","25,398","24,645","23,856","23,049","21,892","20,837","19,652","18,201","16,508","16,297","16,297"
..NHPI,538,529,508,497,476,470,455,454,436,407,407,407
.Two or More Races,"14,409","14,069","13,585","13,201","12,667","12,267","11,842","11,344","10,781","10,220","10,105","10,105"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,275,541","1,274,110","1,271,164","1,267,392","1,258,907","1,252,468","1,243,617","1,235,195","1,223,448","1,209,991","1,205,624","1,205,619"
..Black,"23,137","22,247","21,282","20,330","19,020","17,868","16,779","15,527","14,400","13,029","12,928","12,928"
..AIAN,"9,571","9,498","9,345","9,166","8,971","8,843","8,675","8,471","8,188","7,959","7,924","7,924"
..Asian,"30,578","29,908","28,974","28,058","27,029","25,715","24,510","23,131","21,476","19,563","19,297","19,297"
..NHPI,"1,104","1,082","1,041","1,011",972,949,907,897,854,802,791,791
.NOT HISPANIC,"1,287,708","1,286,374","1,283,413","1,279,691","1,271,017","1,264,100","1,254,945","1,245,978","1,233,894","1,219,717","1,215,302","1,215,297"
..One Race,"1,274,178","1,273,164","1,270,648","1,267,274","1,259,100","1,252,549","1,243,780","1,235,278","1,223,716","1,210,053","1,205,749","1,205,744"
...White,"1,228,778","1,228,939","1,227,857","1,225,982","1,219,654","1,215,175","1,208,340","1,201,992","1,192,816","1,181,955","1,177,915","1,177,910"
...Black,"16,070","15,451","14,791","14,092","13,105","12,209","11,414","10,513","9,687","8,667","8,628","8,628"
...AIAN,"3,203","3,187","3,173","3,147","3,093","3,067","2,994","2,923","2,826","2,761","2,747","2,747"
...Asian,"25,676","25,143","24,402","23,636","22,851","21,705","20,653","19,472","18,026","16,338","16,127","16,127"
...NHPI,451,444,425,417,397,393,379,378,361,332,332,332
..Two or More Races,"13,530","13,210","12,765","12,417","11,917","11,551","11,165","10,700","10,178","9,664","9,553","9,553"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,241,789","1,241,632","1,240,129","1,237,904","1,231,094","1,226,265","1,219,055","1,212,246","1,202,572","1,191,208","1,187,070","1,187,065"
...Black,"20,535","19,733","18,867","17,998","16,773","15,716","14,739","13,606","12,589","11,369","11,274","11,274"
...AIAN,"8,639","8,591","8,489","8,412","8,275","8,166","8,030","7,866","7,622","7,434","7,399","7,399"
...Asian,"30,149","29,492","28,570","27,689","26,675","25,394","24,200","22,828","21,185","19,290","19,029","19,029"
...NHPI,959,939,905,885,839,824,794,776,742,692,680,680
.HISPANIC,"36,867","35,498","33,930","32,203","30,398","28,666","26,926","25,185","22,985","20,729","20,489","20,489"
..One Race,"35,988","34,639","33,110","31,419","29,648","27,950","26,249","24,541","22,382","20,173","19,937","19,937"
...White,"32,957","31,706","30,296","28,779","27,130","25,554","23,956","22,367","20,336","18,283","18,056","18,056"
...Black,"2,044","1,977","1,909","1,842","1,784","1,710","1,612","1,526","1,435","1,322","1,315","1,315"
...AIAN,645,616,579,498,457,422,421,392,361,323,321,321
...Asian,255,255,243,220,198,187,184,180,175,170,170,170
...NHPI,87,85,83,80,79,77,76,76,75,75,75,75
..Two or More Races,879,859,820,784,750,716,677,644,603,556,552,552
..Race alone or in combination:1,,,,,,,,,,,,
...White,"33,752","32,478","31,035","29,488","27,813","26,203","24,562","22,949","20,876","18,783","18,554","18,554"
...Black,"2,602","2,514","2,415","2,332","2,247","2,152","2,040","1,921","1,811","1,660","1,654","1,654"
...AIAN,932,907,856,754,696,677,645,605,566,525,525,525
...Asian,429,416,404,369,354,321,310,303,291,273,268,268
...NHPI,145,143,136,126,133,125,113,121,112,110,111,111
MALE,"652,948","651,765","649,346","646,745","641,315","636,859","631,812","625,841","618,377","610,026","607,687","607,687"
.One Race,"645,805","644,807","642,626","640,195","635,056","630,769","625,889","620,199","613,042","604,953","602,667","602,667"
..White,"620,925","620,569","619,112","617,533","613,400","610,375","606,450","601,950","596,075","589,510","587,367","587,367"
..Black,"9,744","9,373","9,022","8,593","8,061","7,511","7,141","6,649","6,136","5,557","5,525","5,525"
..AIAN,"2,014","1,982","1,973","1,907","1,842","1,780","1,767","1,716","1,688","1,641","1,632","1,632"
..Asian,"12,858","12,622","12,273","11,920","11,523","10,877","10,313","9,671","8,938","8,054","7,952","7,952"
..NHPI,264,261,246,242,230,226,218,213,205,191,191,191
