table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New Jersey: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"8,707,739","8,663,398","8,636,043","8,623,721","8,621,837","8,611,530","8,583,481","8,544,115","8,489,469","8,430,921","8,414,378","8,414,350"
.One Race,"8,581,962","8,541,704","8,518,168","8,509,470","8,511,063","8,504,269","8,479,945","8,444,503","8,394,000","8,339,752","8,324,023","8,323,995"
..White,"6,599,311","6,587,281","6,587,885","6,600,582","6,620,448","6,635,222","6,636,440","6,629,922","6,613,425","6,595,912","6,587,649","6,587,629"
..Black,"1,259,682","1,251,065","1,246,958","1,245,093","1,244,385","1,243,043","1,238,623","1,232,206","1,224,456","1,214,946","1,212,299","1,212,291"
..AIAN,"31,574","30,306","29,367","28,709","28,130","27,443","26,706","25,956","24,999","24,156","24,013","24,013"
..Asian,"683,454","665,393","646,552","627,903","611,111","591,791","571,650","550,112","525,079","498,999","494,373","494,373"
..NHPI,"7,941","7,659","7,406","7,183","6,989","6,770","6,526","6,307","6,041","5,739","5,689","5,689"
.Two or More Races,"125,777","121,694","117,875","114,251","110,774","107,261","103,536","99,612","95,469","91,169","90,355","90,355"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"6,703,657","6,687,954","6,685,108","6,694,572","6,711,240","6,722,903","6,720,774","6,710,743","6,690,595","6,669,355","6,660,477","6,660,457"
..Black,"1,330,922","1,319,528","1,312,884","1,308,604","1,305,624","1,302,010","1,295,211","1,286,367","1,276,050","1,264,005","1,260,803","1,260,795"
..AIAN,"62,751","61,041","59,739","58,771","57,875","56,896","55,769","54,600","53,156","51,688","51,434","51,434"
..Asian,"730,990","711,500","691,305","671,348","653,251","632,541","610,957","587,874","561,230","533,394","528,460","528,460"
..NHPI,"15,317","14,810","14,401","13,981","13,627","13,214","12,791","12,378","11,887","11,303","11,136","11,136"
.NOT HISPANIC,"7,254,915","7,255,652","7,265,761","7,284,767","7,312,712","7,333,472","7,339,725","7,337,758","7,322,057","7,303,427","7,297,173","7,297,159"
..One Race,"7,156,372","7,160,038","7,172,854","7,194,467","7,224,877","7,248,197","7,257,134","7,258,057","7,245,394","7,229,991","7,224,351","7,224,337"
...White,"5,323,198","5,350,666","5,383,624","5,423,385","5,469,056","5,510,974","5,542,101","5,568,365","5,586,180","5,603,686","5,604,526","5,604,512"
...Black,"1,142,050","1,136,244","1,134,792","1,135,248","1,136,622","1,137,232","1,135,141","1,131,222","1,125,879","1,119,142","1,117,278","1,117,278"
...AIAN,"13,835","13,518","13,356","13,188","13,100","12,959","12,762","12,622","12,284","12,034","11,996","11,996"
...Asian,"673,684","656,134","637,729","619,418","602,971","584,005","564,230","543,042","518,364","492,606","488,047","488,047"
...NHPI,"3,605","3,476","3,353","3,228","3,128","3,027","2,900","2,806","2,687","2,523","2,504","2,504"
..Two or More Races,"98,543","95,614","92,907","90,300","87,835","85,275","82,591","79,701","76,663","73,436","72,822","72,822"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"5,403,047","5,427,879","5,458,401","5,495,836","5,539,250","5,578,897","5,607,628","5,631,322","5,646,512","5,661,275","5,661,662","5,661,648"
...Black,"1,192,480","1,184,815","1,181,703","1,180,547","1,180,429","1,179,532","1,175,887","1,170,331","1,163,298","1,154,848","1,152,597","1,152,597"
...AIAN,"38,644","38,102","37,776","37,481","37,261","37,005","36,604","36,227","35,596","34,930","34,839","34,839"
...Asian,"717,167","698,382","678,790","659,338","641,746","621,571","600,513","577,947","551,843","524,493","519,647","519,647"
...NHPI,"9,616","9,349","9,109","8,855","8,643","8,408","8,156","7,922","7,622","7,237","7,117","7,117"
.HISPANIC,"1,452,824","1,407,746","1,370,282","1,338,954","1,309,125","1,278,058","1,243,756","1,206,357","1,167,412","1,127,494","1,117,205","1,117,191"
..One Race,"1,425,590","1,381,666","1,345,314","1,315,003","1,286,186","1,256,072","1,222,811","1,186,446","1,148,606","1,109,761","1,099,672","1,099,658"
...White,"1,276,113","1,236,615","1,204,261","1,177,197","1,151,392","1,124,248","1,094,339","1,061,557","1,027,245","992,226","983,123","983,117"
...Black,"117,632","114,821","112,166","109,845","107,763","105,811","103,482","100,984","98,577","95,804","95,021","95,013"
...AIAN,"17,739","16,788","16,011","15,521","15,030","14,484","13,944","13,334","12,715","12,122","12,017","12,017"
...Asian,"9,770","9,259","8,823","8,485","8,140","7,786","7,420","7,070","6,715","6,393","6,326","6,326"
...NHPI,"4,336","4,183","4,053","3,955","3,861","3,743","3,626","3,501","3,354","3,216","3,185","3,185"
..Two or More Races,"27,234","26,080","24,968","23,951","22,939","21,986","20,945","19,911","18,806","17,733","17,533","17,533"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"1,300,610","1,260,075","1,226,707","1,198,736","1,171,990","1,144,006","1,113,146","1,079,421","1,044,083","1,008,080","998,815","998,809"
...Black,"138,442","134,713","131,181","128,057","125,195","122,478","119,324","116,036","112,752","109,157","108,206","108,198"
...AIAN,"24,107","22,939","21,963","21,290","20,614","19,891","19,165","18,373","17,560","16,758","16,595","16,595"
...Asian,"13,823","13,118","12,515","12,010","11,505","10,970","10,444","9,927","9,387","8,901","8,813","8,813"
...NHPI,"5,701","5,461","5,292","5,126","4,984","4,806","4,635","4,456","4,265","4,066","4,019","4,019"
MALE,"4,268,344","4,243,773","4,224,763","4,214,483","4,210,078","4,199,092","4,180,707","4,156,565","4,125,097","4,091,577","4,082,827","4,082,813"
.One Race,"4,206,127","4,183,549","4,166,504","4,158,128","4,155,466","4,146,370","4,129,863","4,107,733","4,078,344","4,047,013","4,038,667","4,038,653"
..White,"3,245,747","3,237,190","3,233,610","3,236,443","3,243,064","3,245,902","3,242,945","3,235,514","3,223,196","3,210,526","3,205,936","3,205,927"
..Black,"600,771","596,495","593,468","592,125","591,343","589,331","586,483","583,059","578,851","573,976","572,642","572,637"
..AIAN,"16,430","15,773","15,307","14,963","14,667","14,301","13,893","13,507","13,031","12,579","12,499","12,499"
..Asian,"338,925","330,025","320,200","310,817","302,750","293,358","283,184","272,430","260,188","247,009","244,692","244,692"
..NHPI,"4,254","4,066","3,919","3,780","3,642","3,478","3,358","3,223","3,078","2,923","2,898","2,898"
.Two or More Races,"62,217","60,224","58,259","56,355","54,612","52,722","50,844","48,832","46,753","44,564","44,160","44,160"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,297,450","3,287,110","3,281,760","3,282,912","3,287,954","3,289,132","3,284,484","3,275,252","3,261,120","3,246,565","3,241,709","3,241,700"
..Black,"635,374","629,739","625,447","622,825","620,935","617,739","613,680","609,040","603,541","597,387","595,726","595,721"
..AIAN,"31,639","30,764","30,095","29,553","29,095","28,528","27,929","27,322","26,581","25,801","25,641","25,641"
..Asian,"362,945","353,327","342,794","332,716","323,986","313,835","302,920","291,351","278,317","264,240","261,823","261,823"
..NHPI,"7,991","7,707","7,460","7,223","7,004","6,722","6,507","6,278","6,023","5,722","5,629","5,629"
.NOT HISPANIC,"3,525,360","3,523,941","3,524,638","3,530,929","3,542,578","3,548,317","3,547,913","3,543,757","3,532,938","3,520,621","3,517,274","3,517,268"
..One Race,"3,476,594","3,476,619","3,478,749","3,486,445","3,499,345","3,506,521","3,507,481","3,504,820","3,495,532","3,484,876","3,481,833","3,481,827"
...White,"2,592,205","2,603,994","2,617,494","2,634,658","2,655,197","2,672,716","2,685,407","2,695,524","2,701,396","2,707,394","2,707,588","2,707,582"
...Black,"541,612","538,737","537,092","536,985","537,342","536,355","534,773","532,696","529,814","526,401","525,481","525,481"
...AIAN,"6,900","6,742","6,678","6,596","6,568","6,514","6,391","6,329","6,172","6,030","6,009","6,009"
...Asian,"334,084","325,435","315,828","306,606","298,696","289,461","279,467","268,876","256,808","243,783","241,495","241,495"
...NHPI,"1,793","1,711","1,657","1,600","1,542","1,475","1,443","1,395","1,342","1,268","1,260","1,260"
..Two or More Races,"48,766","47,322","45,889","44,484","43,233","41,796","40,432","38,937","37,406","35,745","35,441","35,441"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,631,830","2,642,317","2,654,542","2,670,465","2,689,872","2,706,122","2,717,588","2,726,384","2,730,949","2,735,539","2,735,549","2,735,543"
...Black,"565,918","562,134","559,614","558,641","558,264","556,451","554,082","551,183","547,447","543,167","542,015","542,015"
...AIAN,"18,974","18,704","18,539","18,345","18,239","18,079","17,849","17,649","17,335","16,968","16,887","16,887"
...Asian,"356,148","346,879","336,648","326,817","318,319","308,418","297,762","286,445","273,666","259,814","257,424","257,424"
...NHPI,"4,814","4,680","4,546","4,428","4,316","4,162","4,071","3,953","3,806","3,620","3,556","3,556"
.HISPANIC,"742,984","719,832","700,125","683,554","667,500","650,775","632,794","612,808","592,159","570,956","565,553","565,545"
..One Race,"729,533","706,930","687,755","671,683","656,121","639,849","622,382","602,913","582,812","562,137","556,834","556,826"
...White,"653,542","633,196","616,116","601,785","587,867","573,186","557,538","539,990","521,800","503,132","498,348","498,345"
...Black,"59,159","57,758","56,376","55,140","54,001","52,976","51,710","50,363","49,037","47,575","47,161","47,156"
...AIAN,"9,530","9,031","8,629","8,367","8,099","7,787","7,502","7,178","6,859","6,549","6,490","6,490"
...Asian,"4,841","4,590","4,372","4,211","4,054","3,897","3,717","3,554","3,380","3,226","3,197","3,197"
...NHPI,"2,461","2,355","2,262","2,180","2,100","2,003","1,915","1,828","1,736","1,655","1,638","1,638"
..Two or More Races,"13,451","12,902","12,370","11,871","11,379","10,926","10,412","9,895","9,347","8,819","8,719","8,719"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"665,620","644,793","627,218","612,447","598,082","583,010","566,896","548,868","530,171","511,026","506,160","506,157"
...Black,"69,456","67,605","65,833","64,184","62,671","61,288","59,598","57,857","56,094","54,220","53,711","53,706"
...AIAN,"12,665","12,060","11,556","11,208","10,856","10,449","10,080","9,673","9,246","8,833","8,754","8,754"
...Asian,"6,797","6,448","6,146","5,899","5,667","5,417","5,158","4,906","4,651","4,426","4,399","4,399"
...NHPI,"3,177","3,027","2,914","2,795","2,688","2,560","2,436","2,325","2,217","2,102","2,073","2,073"
