table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for New York: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"19,541,453","19,467,789","19,422,777","19,356,564","19,330,891","19,297,933","19,231,101","19,161,873","19,088,978","18,998,044","18,976,811","18,976,457"
.One Race,"19,221,764","19,157,123","19,120,751","19,063,114","19,044,523","19,018,719","18,959,137","18,897,647","18,832,424","18,749,618","18,730,406","18,730,058"
..White,"14,350,944","14,333,884","14,330,148","14,302,783","14,308,932","14,306,939","14,271,705","14,238,081","14,207,505","14,166,126","14,161,454","14,161,374"
..Black,"3,352,100","3,336,478","3,335,771","3,338,516","3,342,917","3,349,071","3,354,048","3,357,010","3,355,888","3,350,705","3,345,893","3,345,633"
..AIAN,"110,304","108,399","106,950","106,215","105,879","105,209","104,643","103,944","103,030","102,010","101,496","101,492"
..Asian,"1,387,848","1,358,314","1,328,244","1,296,325","1,267,804","1,238,966","1,210,556","1,180,760","1,148,580","1,113,891","1,104,925","1,104,925"
..NHPI,"20,568","20,048","19,638","19,275","18,991","18,534","18,185","17,852","17,421","16,886","16,638","16,634"
.Two or More Races,"319,689","310,666","302,026","293,450","286,368","279,214","271,964","264,226","256,554","248,426","246,405","246,399"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"14,602,468","14,577,547","14,566,283","14,531,530","14,531,446","14,523,201","14,481,686","14,441,315","14,404,303","14,356,250","14,349,196","14,349,114"
..Black,"3,546,445","3,524,312","3,517,412","3,514,189","3,513,499","3,514,646","3,514,737","3,512,530","3,506,232","3,495,832","3,490,384","3,490,118"
..AIAN,"194,714","192,198","190,241","188,798","188,211","187,175","186,095","184,951","183,477","181,648","181,014","181,008"
..Asian,"1,502,116","1,469,374","1,436,199","1,401,086","1,369,917","1,338,322","1,306,942","1,274,092","1,238,726","1,200,557","1,190,403","1,190,403"
..NHPI,"40,702","39,844","38,954","38,142","37,540","36,759","35,983","35,162","34,295","33,099","32,298","32,292"
.NOT HISPANIC,"16,267,068","16,253,431","16,258,143","16,236,619","16,242,151","16,239,769","16,207,966","16,177,826","16,149,915","16,107,446","16,109,153","16,108,874"
..One Race,"16,024,072","16,017,651","16,029,159","16,014,367","16,025,435","16,028,746","16,002,938","15,979,240","15,957,560","15,921,656","15,924,698","15,924,425"
...White,"11,709,737","11,744,522","11,783,548","11,793,201","11,824,939","11,848,794","11,848,803","11,853,518","11,865,662","11,867,826","11,881,379","11,881,334"
...Black,"2,878,367","2,866,976","2,869,736","2,877,434","2,885,315","2,893,833","2,896,596","2,898,390","2,897,258","2,894,365","2,892,827","2,892,601"
...AIAN,"61,625","60,994","60,513","60,139","59,945","59,478","59,132","58,609","58,036","57,458","57,367","57,365"
...Asian,"1,365,011","1,336,147","1,306,605","1,275,102","1,246,951","1,218,617","1,190,643","1,161,230","1,129,424","1,095,203","1,086,450","1,086,450"
...NHPI,"9,332","9,012","8,757","8,491","8,285","8,024","7,764","7,493","7,180","6,804","6,675","6,675"
..Two or More Races,"242,996","235,780","228,984","222,252","216,716","211,023","205,028","198,586","192,355","185,790","184,455","184,449"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"11,893,654","11,922,190","11,955,379","11,959,239","11,986,174","12,005,118","11,999,931","11,999,133","12,006,131","12,002,918","12,014,787","12,014,740"
...Black,"3,010,360","2,994,013","2,992,203","2,995,487","2,999,627","3,004,441","3,003,358","3,001,104","2,996,097","2,989,269","2,987,513","2,987,281"
...AIAN,"128,585","127,587","126,817","126,069","125,755","125,037","124,409","123,478","122,515","121,487","121,411","121,407"
...Asian,"1,469,524","1,437,676","1,405,282","1,370,816","1,340,243","1,309,325","1,278,643","1,246,315","1,211,546","1,174,192","1,164,534","1,164,534"
...NHPI,"25,779","25,200","24,581","23,962","23,490","22,997","22,411","21,734","21,054","20,251","19,761","19,759"
.HISPANIC,"3,274,385","3,214,358","3,164,634","3,119,945","3,088,740","3,058,164","3,023,135","2,984,047","2,939,063","2,890,598","2,867,658","2,867,583"
..One Race,"3,197,692","3,139,472","3,091,592","3,048,747","3,019,088","2,989,973","2,956,199","2,918,407","2,874,864","2,827,962","2,805,708","2,805,633"
...White,"2,641,207","2,589,362","2,546,600","2,509,582","2,483,993","2,458,145","2,422,902","2,384,563","2,341,843","2,298,300","2,280,075","2,280,040"
...Black,"473,733","469,502","466,035","461,082","457,602","455,238","457,452","458,620","458,630","456,340","453,066","453,032"
...AIAN,"48,679","47,405","46,437","46,076","45,934","45,731","45,511","45,335","44,994","44,552","44,129","44,127"
...Asian,"22,837","22,167","21,639","21,223","20,853","20,349","19,913","19,530","19,156","18,688","18,475","18,475"
...NHPI,"11,236","11,036","10,881","10,784","10,706","10,510","10,421","10,359","10,241","10,082","9,963","9,959"
..Two or More Races,"76,693","74,886","73,042","71,198","69,652","68,191","66,936","65,640","64,199","62,636","61,950","61,950"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,708,814","2,655,357","2,610,904","2,572,291","2,545,272","2,518,083","2,481,755","2,442,182","2,398,172","2,353,332","2,334,409","2,334,374"
...Black,"536,085","530,299","525,209","518,702","513,872","510,205","511,379","511,426","510,135","506,563","502,871","502,837"
...AIAN,"66,129","64,611","63,424","62,729","62,456","62,138","61,686","61,473","60,962","60,161","59,603","59,601"
...Asian,"32,592","31,698","30,917","30,270","29,674","28,997","28,299","27,777","27,180","26,365","25,869","25,869"
...NHPI,"14,923","14,644","14,373","14,180","14,050","13,762","13,572","13,428","13,241","12,848","12,537","12,533"
MALE,"9,499,163","9,454,851","9,424,157","9,381,714","9,362,063","9,335,671","9,296,706","9,254,723","9,211,750","9,158,747","9,146,943","9,146,748"
.One Race,"9,343,197","9,303,640","9,277,395","9,239,447","9,223,318","9,200,669","9,165,464","9,127,527","9,088,505","9,039,613","9,028,835","9,028,646"
..White,"7,031,656","7,016,594","7,008,104","6,987,822","6,985,255","6,976,419","6,953,517","6,930,131","6,908,867","6,881,171","6,877,789","6,877,752"
..Black,"1,564,842","1,555,447","1,552,951","1,551,008","1,550,947","1,551,069","1,552,476","1,552,318","1,550,357","1,545,748","1,543,233","1,543,087"
..AIAN,"54,995","53,973","53,207","52,818","52,592","52,186","51,886","51,600","51,138","50,684","50,424","50,420"
..Asian,"681,473","667,665","653,408","638,247","625,118","611,831","598,636","584,714","569,590","553,725","549,223","549,223"
..NHPI,"10,231","9,961","9,725","9,552","9,406","9,164","8,949","8,764","8,553","8,285","8,166","8,164"
.Two or More Races,"155,966","151,211","146,762","142,267","138,745","135,002","131,242","127,196","123,245","119,134","118,108","118,102"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"7,155,767","7,136,591","7,124,155","7,100,009","7,094,336","7,082,246","7,056,045","7,029,134","7,004,533","6,973,449","6,968,716","6,968,677"
..Black,"1,657,377","1,644,596","1,638,938","1,633,927","1,631,329","1,628,808","1,627,701","1,624,873","1,620,270","1,613,044","1,610,274","1,610,122"
..AIAN,"95,203","93,805","92,758","91,972","91,615","90,992","90,398","89,835","89,086","88,186","87,892","87,886"
..Asian,"738,884","723,389","707,533","690,705","676,263","661,533","646,836","631,290","614,536","596,881","591,833","591,833"
..NHPI,"19,841","19,390","18,941","18,526","18,208","17,812","17,430","16,973","16,572","15,960","15,558","15,554"
.NOT HISPANIC,"7,867,208","7,855,717","7,851,819","7,834,072","7,831,888","7,823,091","7,803,176","7,782,864","7,764,308","7,737,707","7,737,609","7,737,473"
..One Race,"7,748,528","7,740,848","7,740,454","7,726,238","7,726,773","7,720,917","7,704,111","7,687,144","7,671,806","7,648,497","7,649,071","7,648,941"
...White,"5,704,661","5,717,959","5,732,592","5,732,714","5,744,580","5,750,428","5,746,526","5,744,100","5,745,952","5,741,933","5,747,880","5,747,868"
...Black,"1,339,210","1,332,170","1,331,495","1,332,356","1,334,173","1,335,841","1,336,212","1,335,723","1,333,893","1,330,637","1,329,754","1,329,638"
