table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"9,380,884","9,247,134","9,064,074","8,866,977","8,669,452","8,531,283","8,416,451","8,316,617","8,203,451","8,079,383","8,046,406","8,049,313"
.One Race,"9,262,130","9,133,190","8,956,503","8,766,225","8,574,836","8,441,676","8,331,911","8,236,359","8,127,841","8,008,588","7,976,480","7,979,348"
..White,"6,917,452","6,830,347","6,705,823","6,567,169","6,426,108","6,329,409","6,251,027","6,183,354","6,106,402","6,020,224","5,998,671","6,000,805"
..Black,"2,027,898","1,995,966","1,955,601","1,916,278","1,877,595","1,850,560","1,827,767","1,808,608","1,785,189","1,761,123","1,752,669","1,753,188"
..AIAN,"117,497","115,689","113,739","111,731","109,814","108,515","107,100","105,648","104,340","102,963","102,340","102,355"
..Asian,"192,121","184,394","174,928","164,959","155,549","147,601","140,679","133,537","126,853","119,443","118,017","118,215"
..NHPI,"7,162","6,794","6,412","6,088","5,770","5,591","5,338","5,212","5,057","4,835","4,783","4,785"
.Two or More Races,"118,754","113,944","107,571","100,752","94,616","89,607","84,540","80,258","75,610","70,795","69,926","69,965"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"7,018,371","6,927,051","6,796,969","6,652,359","6,505,911","6,404,791","6,321,953","6,250,533","6,169,471","6,079,073","6,056,852","6,059,018"
..Black,"2,090,194","2,055,299","2,011,179","1,967,775","1,925,520","1,895,508","1,869,759","1,848,096","1,821,937","1,795,148","1,786,092","1,786,633"
..AIAN,"159,818","156,965","153,421","149,842","146,354","143,931","141,241","138,820","136,421","133,813","133,040","133,062"
..Asian,"226,421","217,157","205,742","193,609","182,273","172,770","164,264","155,732","147,595","138,708","136,939","137,156"
..NHPI,"14,437","13,719","12,961","12,198","11,488","11,038","10,477","10,035","9,571","9,058","8,930","8,933"
.NOT HISPANIC,"8,663,222","8,566,511","8,430,265","8,280,271","8,124,878","8,022,432","7,940,120","7,868,455","7,786,747","7,695,793","7,667,504","7,670,350"
..One Race,"8,556,335","8,463,525","8,332,642","8,188,549","8,038,485","7,940,367","7,862,455","7,794,572","7,716,962","7,630,231","7,602,730","7,605,542"
...White,"6,267,309","6,212,460","6,129,830","6,034,675","5,932,446","5,868,988","5,820,592","5,779,301","5,731,656","5,676,261","5,658,860","5,660,943"
...Black,"1,990,501","1,961,280","1,923,481","1,885,776","1,848,688","1,822,709","1,801,107","1,782,627","1,760,115","1,737,008","1,728,884","1,729,399"
...AIAN,"105,582","104,499","103,420","102,171","100,892","100,147","99,247","98,271","97,493","96,690","96,147","96,162"
...Asian,"187,866","180,458","171,340","161,604","152,399","144,606","137,821","130,772","124,214","116,961","115,568","115,766"
...NHPI,"5,077","4,828","4,571","4,323","4,060","3,917","3,688","3,601","3,484","3,311","3,271","3,272"
..Two or More Races,"106,887","102,986","97,623","91,722","86,393","82,065","77,665","73,883","69,785","65,562","64,774","64,808"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,358,138","6,299,838","6,212,516","6,112,176","6,005,246","5,937,964","5,885,682","5,841,069","5,789,782","5,730,705","5,712,689","5,714,800"
...Black,"2,045,871","2,014,250","1,973,289","1,932,042","1,891,855","1,863,302","1,839,135","1,818,437","1,793,508","1,768,003","1,759,313","1,759,846"
...AIAN,"143,729","141,864","139,557","136,992","134,452","132,780","130,833","129,042","127,351","125,490","124,853","124,872"
...Asian,"219,042","210,372","199,567","187,937","177,035","167,874","159,669","151,406","143,523","134,946","133,249","133,466"
...NHPI,"11,088","10,614","10,081","9,504","8,944","8,585","8,128","7,797","7,427","7,020","6,906","6,908"
.HISPANIC,"717,662","680,623","633,809","586,706","544,574","508,851","476,331","448,162","416,704","383,590","378,902","378,963"
..One Race,"705,795","669,665","623,861","577,676","536,351","501,309","469,456","441,787","410,879","378,357","373,750","373,806"
...White,"650,143","617,887","575,993","532,494","493,662","460,421","430,435","404,053","374,746","343,963","339,811","339,862"
...Black,"37,397","34,686","32,120","30,502","28,907","27,851","26,660","25,981","25,074","24,115","23,785","23,789"
...AIAN,"11,915","11,190","10,319","9,560","8,922","8,368","7,853","7,377","6,847","6,273","6,193","6,193"
...Asian,"4,255","3,936","3,588","3,355","3,150","2,995","2,858","2,765","2,639","2,482","2,449","2,449"
...NHPI,"2,085","1,966","1,841","1,765","1,710","1,674","1,650","1,611","1,573","1,524","1,512","1,513"
..Two or More Races,"11,867","10,958","9,948","9,030","8,223","7,542","6,875","6,375","5,825","5,233","5,152","5,157"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"660,233","627,213","584,453","540,183","500,665","466,827","436,271","409,464","379,689","348,368","344,163","344,218"
...Black,"44,323","41,049","37,890","35,733","33,665","32,206","30,624","29,659","28,429","27,145","26,779","26,787"
