table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for North Dakota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"646,844","641,421","638,202","636,771","635,365","636,303","632,809","633,617","636,267","641,200","642,195","642,200"
.One Race,"638,829","633,715","630,791","629,530","628,326","629,518","626,254","627,322","630,143","635,196","636,222","636,227"
..White,"589,112","585,209","583,497","583,222","583,432","585,692","583,884","585,842","589,691","595,642","596,715","596,718"
..Black,"7,813","7,337","6,884","6,651","6,263","5,833","5,226","4,919","4,529","4,160","4,157","4,157"
..AIAN,"36,258","35,762","35,115","34,538","33,712","33,215","32,617","32,245","31,765","31,423","31,440","31,440"
..Asian,"5,328","5,098","4,989","4,816","4,622","4,497","4,252","4,052","3,908","3,732","3,677","3,679"
..NHPI,318,309,306,303,297,281,275,264,250,239,233,233
.Two or More Races,"8,015","7,706","7,411","7,241","7,039","6,785","6,555","6,295","6,124","6,004","5,973","5,973"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"596,656","592,449","590,459","590,034","590,049","592,054","590,038","591,750","595,425","601,265","602,316","602,319"
..Black,"9,940","9,330","8,743","8,456","7,972","7,473","6,755","6,370","5,918","5,490","5,451","5,451"
..AIAN,"40,740","40,136","39,405","38,765","37,893","37,296","36,626","36,154","35,625","35,267","35,274","35,274"
..Asian,"7,345","7,036","6,815","6,586","6,297","6,080","5,768","5,469","5,253","5,037","4,984","4,986"
..NHPI,692,666,642,633,617,595,566,536,516,495,476,476
.NOT HISPANIC,"632,126","627,471","625,114","624,554","623,887","625,410","622,802","624,408","627,798","633,350","634,409","634,414"
..One Race,"624,523","620,165","618,079","617,672","617,185","618,950","616,548","618,389","621,943","627,609","628,695","628,700"
...White,"576,498","573,360","572,422","572,767","573,556","576,331","575,306","577,971","582,500","589,012","590,130","590,133"
...Black,"7,233","6,803","6,417","6,230","5,878","5,478","4,905","4,615","4,257","3,922","3,926","3,926"
...AIAN,"35,272","34,716","34,064","33,667","32,934","32,462","31,906","31,580","31,118","30,795","30,816","30,816"
...Asian,"5,217","4,993","4,888","4,725","4,539","4,418","4,176","3,978","3,835","3,660","3,605","3,607"
...NHPI,303,293,288,283,278,261,255,245,233,220,218,218
..Two or More Races,"7,603","7,306","7,035","6,882","6,702","6,460","6,254","6,019","5,855","5,741","5,714","5,714"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"583,658","580,234","579,033","579,249","579,862","582,398","581,184","583,628","587,987","594,401","595,501","595,504"
...Black,"9,203","8,640","8,146","7,897","7,460","6,989","6,329","5,951","5,544","5,158","5,129","5,129"
...AIAN,"39,506","38,853","38,117","37,678","36,913","36,341","35,728","35,313","34,810","34,466","34,480","34,480"
...Asian,"7,122","6,816","6,613","6,389","6,123","5,915","5,611","5,331","5,115","4,888","4,835","4,837"
...NHPI,661,633,613,600,587,557,533,507,488,464,449,449
.HISPANIC,"14,718","13,950","13,088","12,217","11,478","10,893","10,007","9,209","8,469","7,850","7,786","7,786"
..One Race,"14,306","13,550","12,712","11,858","11,141","10,568","9,706","8,933","8,200","7,587","7,527","7,527"
...White,"12,614","11,849","11,075","10,455","9,876","9,361","8,578","7,871","7,191","6,630","6,585","6,585"
...Black,580,534,467,421,385,355,321,304,272,238,231,231
...AIAN,986,"1,046","1,051",871,778,753,711,665,647,628,624,624
...Asian,111,105,101,91,83,79,76,74,73,72,72,72
...NHPI,15,16,18,20,19,20,20,19,17,19,15,15
..Two or More Races,412,400,376,359,337,325,301,276,269,263,259,259
..Race alone or in combination:1,,,,,,,,,,,,
...White,"12,998","12,215","11,426","10,785","10,187","9,656","8,854","8,122","7,438","6,864","6,815","6,815"
...Black,737,690,597,559,512,484,426,419,374,332,322,322
...AIAN,"1,234","1,283","1,288","1,087",980,955,898,841,815,801,794,794
...Asian,223,220,202,197,174,165,157,138,138,149,149,149
...NHPI,31,33,29,33,30,38,33,29,28,31,27,27
MALE,"325,000","322,124","320,446","319,750","318,538","319,060","316,482","316,617","317,704","320,002","320,521","320,524"
.One Race,"320,943","318,205","316,687","316,071","314,955","315,610","313,183","313,432","314,616","316,976","317,510","317,513"
..White,"295,852","293,698","292,835","292,627","292,310","293,454","291,854","292,596","294,383","297,178","297,720","297,722"
..Black,"4,516","4,281","3,982","3,918","3,689","3,474","3,090","2,938","2,721","2,516","2,519","2,519"
..AIAN,"17,797","17,556","17,257","16,997","16,530","16,338","16,032","15,828","15,569","15,419","15,433","15,433"
..Asian,"2,620","2,517","2,461","2,375","2,274","2,201","2,067","1,934","1,816","1,742","1,723","1,724"
..NHPI,158,153,152,154,152,143,140,136,127,121,115,115
.Two or More Races,"4,057","3,919","3,759","3,679","3,583","3,450","3,299","3,185","3,088","3,026","3,011","3,011"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"299,640","297,355","296,338","296,063","295,656","296,659","294,930","295,560","297,246","299,990","300,522","300,524"
..Black,"5,628","5,331","4,962","4,864","4,592","4,333","3,890","3,693","3,441","3,212","3,189","3,189"
..AIAN,"20,002","19,706","19,378","19,084","18,599","18,367","17,995","17,758","17,478","17,314","17,334","17,334"
..Asian,"3,672","3,543","3,419","3,308","3,162","3,032","2,863","2,684","2,515","2,423","2,404","2,405"
..NHPI,353,338,328,325,321,310,288,276,276,256,241,241
.NOT HISPANIC,"317,300","314,794","313,532","313,217","312,391","313,229","311,159","311,721","313,238","315,873","316,422","316,425"
..One Race,"313,469","311,091","309,977","309,732","308,985","309,950","308,013","308,679","310,286","312,980","313,544","313,547"
...White,"289,238","287,457","286,964","287,006","286,997","288,429","287,269","288,386","290,565","293,665","294,232","294,234"
...Black,"4,231","4,013","3,747","3,696","3,486","3,285","2,921","2,775","2,574","2,388","2,391","2,391"
...AIAN,"17,288","17,014","16,715","16,557","16,125","15,939","15,661","15,490","15,243","15,104","15,119","15,119"
...Asian,"2,563","2,464","2,411","2,333","2,238","2,168","2,036","1,905","1,788","1,715","1,696","1,697"
...NHPI,149,143,140,140,139,129,126,123,116,108,106,106
..Two or More Races,"3,831","3,703","3,555","3,485","3,406","3,279","3,146","3,042","2,952","2,893","2,878","2,878"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"292,815","290,917","290,280","290,267","290,178","291,481","290,206","291,223","293,306","296,361","296,918","296,920"
...Black,"5,261","4,982","4,656","4,571","4,325","4,080","3,666","3,471","3,241","3,035","3,012","3,012"
...AIAN,"19,369","19,053","18,722","18,539","18,101","17,869","17,540","17,335","17,074","16,914","16,934","16,934"
...Asian,"3,552","3,419","3,306","3,203","3,072","2,953","2,788","2,622","2,450","2,357","2,338","2,339"
...NHPI,339,321,310,305,303,287,269,257,260,238,227,227
.HISPANIC,"7,700","7,330","6,914","6,533","6,147","5,831","5,323","4,896","4,466","4,129","4,099","4,099"
..One Race,"7,474","7,114","6,710","6,339","5,970","5,660","5,170","4,753","4,330","3,996","3,966","3,966"
...White,"6,614","6,241","5,871","5,621","5,313","5,025","4,585","4,210","3,818","3,513","3,488","3,488"
...Black,285,268,235,222,203,189,169,163,147,128,128,128
...AIAN,509,542,542,440,405,399,371,338,326,315,314,314
...Asian,57,53,50,42,36,33,31,29,28,27,27,27
...NHPI,9,10,12,14,13,14,14,13,11,13,9,9
..Two or More Races,226,216,204,194,177,171,153,143,136,133,133,133
..Race alone or in combination:1,,,,,,,,,,,,
...White,"6,825","6,438","6,058","5,796","5,478","5,178","4,724","4,337","3,940","3,629","3,604","3,604"
...Black,367,349,306,293,267,253,224,222,200,177,177,177
...AIAN,633,653,656,545,498,498,455,423,404,400,400,400
...Asian,120,124,113,105,90,79,75,62,65,66,66,66
...NHPI,14,17,18,20,18,23,19,19,16,18,14,14
FEMALE,"321,844","319,297","317,756","317,021","316,827","317,243","316,327","317,000","318,563","321,198","321,674","321,676"
.One Race,"317,886","315,510","314,104","313,459","313,371","313,908","313,071","313,890","315,527","318,220","318,712","318,714"
..White,"293,260","291,511","290,662","290,595","291,122","292,238","292,030","293,246","295,308","298,464","298,995","298,996"
..Black,"3,297","3,056","2,902","2,733","2,574","2,359","2,136","1,981","1,808","1,644","1,638","1,638"
..AIAN,"18,461","18,206","17,858","17,541","17,182","16,877","16,585","16,417","16,196","16,004","16,007","16,007"
..Asian,"2,708","2,581","2,528","2,441","2,348","2,296","2,185","2,118","2,092","1,990","1,954","1,955"
..NHPI,160,156,154,149,145,138,135,128,123,118,118,118
.Two or More Races,"3,958","3,787","3,652","3,562","3,456","3,335","3,256","3,110","3,036","2,978","2,962","2,962"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"297,016","295,094","294,121","293,971","294,393","295,395","295,108","296,190","298,179","301,275","301,794","301,795"
..Black,"4,312","3,999","3,781","3,592","3,380","3,140","2,865","2,677","2,477","2,278","2,262","2,262"
..AIAN,"20,738","20,430","20,027","19,681","19,294","18,929","18,631","18,396","18,147","17,953","17,940","17,940"
..Asian,"3,673","3,493","3,396","3,278","3,135","3,048","2,905","2,785","2,738","2,614","2,580","2,581"
