table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Ohio: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"11,542,645","11,528,072","11,520,815","11,492,495","11,475,262","11,464,593","11,445,180","11,420,981","11,396,874","11,363,844","11,353,150","11,353,140"
.One Race,"11,386,338","11,375,121","11,371,662","11,347,473","11,333,882","11,326,817","11,311,149","11,290,643","11,270,007","11,240,947","11,231,393","11,231,380"
..White,"9,771,805","9,771,119","9,778,524","9,769,706","9,770,832","9,777,721","9,775,399","9,770,203","9,765,978","9,754,201","9,749,054","9,749,017"
..Black,"1,395,368","1,390,296","1,384,720","1,374,787","1,365,631","1,358,182","1,351,038","1,342,660","1,332,497","1,320,966","1,318,002","1,318,013"
..AIAN,"30,008","29,598","29,158","28,580","28,123","27,666","27,250","26,816","26,377","25,673","25,574","25,574"
..Asian,"184,606","179,683","174,976","170,289","165,366","159,467","153,890","147,506","141,864","136,938","135,620","135,633"
..NHPI,"4,551","4,425","4,284","4,111","3,930","3,781","3,572","3,458","3,291","3,169","3,143","3,143"
.Two or More Races,"156,307","152,951","149,153","145,022","141,380","137,776","134,031","130,338","126,867","122,897","121,757","121,760"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"9,913,303","9,909,425","9,913,231","9,900,509","9,898,166","9,901,652","9,895,779","9,887,089","9,879,592","9,864,079","9,858,004","9,857,970"
..Black,"1,485,758","1,477,973","1,469,477","1,456,269","1,444,338","1,434,119","1,424,164","1,413,031","1,400,354","1,386,002","1,382,239","1,382,250"
..AIAN,"83,752","83,124","82,478","81,550","80,868","80,192","79,438","78,671","77,887","76,684","76,505","76,505"
..Asian,"218,020","212,353","206,744","201,092","195,254","188,444","181,945","174,648","168,087","162,167","160,459","160,475"
..NHPI,"9,872","9,646","9,342","9,057","8,725","8,463","8,146","7,926","7,605","7,333","7,154","7,154"
.NOT HISPANIC,"11,216,232","11,213,598","11,218,569","11,203,641","11,198,878","11,200,193","11,192,105","11,179,185","11,166,141","11,144,669","11,136,029","11,136,017"
..One Race,"11,068,787","11,069,191","11,077,613","11,066,435","11,065,000","11,069,673","11,065,080","11,055,588","11,045,758","11,027,988","11,020,416","11,020,401"
...White,"9,488,718","9,498,686","9,516,603","9,518,900","9,530,483","9,547,337","9,554,877","9,560,036","9,566,108","9,564,976","9,561,616","9,561,577"
...Black,"1,369,854","1,365,416","1,360,817","1,352,205","1,344,247","1,338,095","1,331,839","1,323,863","1,313,936","1,302,745","1,299,932","1,299,943"
...AIAN,"24,759","24,547","24,323","24,096","23,915","23,693","23,438","23,172","22,914","22,436","22,358","22,358"
...Asian,"182,228","177,370","172,767","168,217","163,426","157,673","152,192","145,854","140,272","135,405","134,100","134,113"
...NHPI,"3,228","3,172","3,103","3,017","2,929","2,875","2,734","2,663","2,528","2,426","2,410","2,410"
..Two or More Races,"147,445","144,407","140,956","137,206","133,878","130,520","127,025","123,597","120,383","116,681","115,613","115,616"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"9,622,534","9,629,596","9,644,196","9,642,937","9,651,313","9,664,994","9,669,202","9,671,082","9,674,107","9,669,475","9,665,243","9,665,207"
...Black,"1,454,908","1,447,936","1,440,626","1,429,004","1,418,471","1,409,725","1,400,779","1,390,237","1,377,960","1,364,126","1,360,550","1,360,561"
...AIAN,"74,792","74,476","74,162","73,724","73,428","73,053","72,530","72,033","71,519","70,615","70,486","70,486"
...Asian,"213,916","208,390","202,976","197,509","191,896","185,268","178,964","171,748","165,310","159,502","157,832","157,848"
...NHPI,"7,836","7,717","7,534","7,366","7,174","7,009","6,812","6,648","6,396","6,164","6,007","6,007"
.HISPANIC,"326,413","314,474","302,246","288,854","276,384","264,400","253,075","241,796","230,733","219,175","217,121","217,123"
..One Race,"317,551","305,930","294,049","281,038","268,882","257,144","246,069","235,055","224,249","212,959","210,977","210,979"
...White,"283,087","272,433","261,921","250,806","240,349","230,384","220,522","210,167","199,870","189,225","187,438","187,440"
...Black,"25,514","24,880","23,903","22,582","21,384","20,087","19,199","18,797","18,561","18,221","18,070","18,070"
...AIAN,"5,249","5,051","4,835","4,484","4,208","3,973","3,812","3,644","3,463","3,237","3,216","3,216"
...Asian,"2,378","2,313","2,209","2,072","1,940","1,794","1,698","1,652","1,592","1,533","1,520","1,520"
...NHPI,"1,323","1,253","1,181","1,094","1,001",906,838,795,763,743,733,733
..Two or More Races,"8,862","8,544","8,197","7,816","7,502","7,256","7,006","6,741","6,484","6,216","6,144","6,144"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"290,769","279,829","269,035","257,572","246,853","236,658","226,577","216,007","205,485","194,604","192,761","192,763"
...Black,"30,850","30,037","28,851","27,265","25,867","24,394","23,385","22,794","22,394","21,876","21,689","21,689"
...AIAN,"8,960","8,648","8,316","7,826","7,440","7,139","6,908","6,638","6,368","6,069","6,019","6,019"
...Asian,"4,104","3,963","3,768","3,583","3,358","3,176","2,981","2,900","2,777","2,665","2,627","2,627"
...NHPI,"2,036","1,929","1,808","1,691","1,551","1,454","1,334","1,278","1,209","1,169","1,147","1,147"
MALE,"5,633,403","5,623,706","5,618,114","5,601,000","5,589,424","5,580,878","5,569,057","5,552,934","5,537,302","5,518,220","5,512,263","5,512,262"
.One Race,"5,557,303","5,549,286","5,545,625","5,530,582","5,520,908","5,514,133","5,504,146","5,489,895","5,476,025","5,458,885","5,453,503","5,453,500"
..White,"4,785,108","4,782,722","4,784,264","4,777,044","4,775,206","4,775,655","4,772,099","4,765,880","4,760,481","4,751,671","4,748,477","4,748,463"
..Black,"663,959","661,213","658,552","653,401","648,262","644,346","640,998","636,563","631,388","625,771","624,291","624,293"
..AIAN,"15,377","15,133","14,956","14,722","14,474","14,246","14,051","13,796","13,560","13,188","13,138","13,138"
..Asian,"90,466","87,915","85,641","83,295","80,938","77,957","75,190","71,923","68,955","66,678","66,028","66,037"
..NHPI,"2,393","2,303","2,212","2,120","2,028","1,929","1,808","1,733","1,641","1,577","1,569","1,569"
.Two or More Races,"76,100","74,420","72,489","70,418","68,516","66,745","64,911","63,039","61,277","59,335","58,760","58,762"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"4,854,352","4,850,381","4,850,077","4,840,900","4,837,240","4,836,026","4,830,736","4,822,735","4,815,685","4,805,036","4,801,391","4,801,379"
..Black,"707,608","703,503","699,356","692,557","685,961","680,690","675,945","670,144","663,701","656,676","654,780","654,782"
..AIAN,"40,884","40,523","40,242","39,862","39,449","39,121","38,762","38,295","37,871","37,296","37,196","37,196"
..Asian,"106,946","104,024","101,320","98,485","95,683","92,248","89,050","85,327","81,904","79,145","78,306","78,317"
..NHPI,"5,124","4,986","4,803","4,653","4,477","4,329","4,153","4,015","3,858","3,720","3,621","3,621"
.NOT HISPANIC,"5,463,193","5,459,769","5,460,531","5,450,460","5,445,494","5,443,352","5,437,433","5,427,387","5,417,688","5,404,868","5,399,998","5,399,997"
..One Race,"5,391,448","5,389,541","5,392,065","5,383,863","5,380,632","5,380,136","5,375,923","5,367,602","5,359,533","5,348,510","5,344,182","5,344,179"
...White,"4,636,600","4,639,801","4,646,825","4,645,458","4,649,149","4,654,954","4,656,540","4,655,878","4,655,997","4,652,947","4,650,718","4,650,704"
...Black,"651,387","648,983","646,808","642,334","637,829","634,582","631,688","627,477","622,436","617,017","615,611","615,613"
...AIAN,"12,595","12,448","12,381","12,320","12,218","12,105","11,987","11,824","11,689","11,445","11,404","11,404"
...Asian,"89,268","86,751","84,535","82,270","79,987","77,081","74,366","71,122","68,182","65,925","65,281","65,290"
...NHPI,"1,598","1,558","1,516","1,481","1,449","1,414","1,342","1,301","1,229","1,176","1,168","1,168"
..Two or More Races,"71,745","70,228","68,466","66,597","64,862","63,216","61,510","59,785","58,155","56,358","55,816","55,818"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,702,032","4,703,787","4,709,112","4,705,976","4,707,987","4,712,243","4,712,210","4,709,895","4,708,480","4,703,719","4,701,061","4,701,049"
...Black,"692,443","688,771","685,206","679,232","673,371","668,856","664,638","659,162","652,930","646,202","644,396","644,398"
...AIAN,"36,308","36,106","35,988","35,843","35,645","35,452","35,208","34,895","34,616","34,198","34,124","34,124"
...Asian,"104,925","102,077","99,473","96,756","94,062","90,728","87,619","83,941","80,573","77,859","77,040","77,051"
...NHPI,"3,946","3,875","3,767","3,694","3,608","3,523","3,424","3,324","3,200","3,088","2,993","2,993"
.HISPANIC,"170,210","163,937","157,583","150,540","143,930","137,526","131,624","125,547","119,614","113,352","112,265","112,265"
..One Race,"165,855","159,745","153,560","146,719","140,276","133,997","128,223","122,293","116,492","110,375","109,321","109,321"
...White,"148,508","142,921","137,439","131,586","126,057","120,701","115,559","110,002","104,484","98,724","97,759","97,759"
...Black,"12,572","12,230","11,744","11,067","10,433","9,764","9,310","9,086","8,952","8,754","8,680","8,680"
...AIAN,"2,782","2,685","2,575","2,402","2,256","2,141","2,064","1,972","1,871","1,743","1,734","1,734"
...Asian,"1,198","1,164","1,106","1,025",951,876,824,801,773,753,747,747
...NHPI,795,745,696,639,579,515,466,432,412,401,401,401
..Two or More Races,"4,355","4,192","4,023","3,821","3,654","3,529","3,401","3,254","3,122","2,977","2,944","2,944"
..Race alone or in combination:1,,,,,,,,,,,,
