table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oklahoma: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"3,687,050","3,644,025","3,612,186","3,574,334","3,532,769","3,514,449","3,498,687","3,484,754","3,464,729","3,453,943","3,450,638","3,450,654"
.One Race,"3,535,800","3,496,303","3,466,603","3,430,516","3,390,598","3,373,009","3,358,261","3,344,914","3,325,131","3,314,171","3,312,019","3,312,033"
..White,"2,876,092","2,847,634","2,826,094","2,801,013","2,771,424","2,759,589","2,749,620","2,741,033","2,727,797","2,722,366","2,721,539","2,721,554"
..Black,"296,880","290,739","287,088","281,198","276,010","273,609","271,605","270,385","267,394","264,473","264,235","264,235"
..AIAN,"296,182","293,778","291,212","288,050","284,768","282,408","281,043","278,974","277,190","276,148","275,559","275,558"
..Asian,"62,699","60,361","58,508","56,708","54,926","54,096","52,972","51,519","49,861","48,485","48,030","48,030"
..NHPI,"3,947","3,791","3,701","3,547","3,470","3,307","3,021","3,003","2,889","2,699","2,656","2,656"
.Two or More Races,"151,250","147,722","145,583","143,818","142,171","141,440","140,426","139,840","139,598","139,772","138,619","138,621"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,015,629","2,983,970","2,960,476","2,933,801","2,902,726","2,890,258","2,879,441","2,870,269","2,856,788","2,851,496","2,849,777","2,849,794"
..Black,"327,434","319,590","314,816","307,932","301,788","298,717","296,023","294,234","290,731","287,443","286,722","286,722"
..AIAN,"415,371","411,404","408,105","404,457","400,749","398,616","397,283","395,494","394,269","394,141","393,061","393,062"
..Asian,"78,264","75,197","72,799","70,484","68,174","66,963","65,367","63,574","61,605","59,886","59,042","59,042"
..NHPI,"7,867","7,548","7,335","7,064","6,827","6,564","6,034","5,965","5,789","5,516","5,248","5,248"
.NOT HISPANIC,"3,385,210","3,358,401","3,339,106","3,316,998","3,290,410","3,285,117","3,281,150","3,278,153","3,271,289","3,273,066","3,271,333","3,271,350"
..One Race,"3,243,916","3,219,963","3,202,236","3,181,274","3,155,741","3,150,597","3,147,154","3,144,341","3,137,339","3,138,667","3,138,013","3,138,028"
...White,"2,611,957","2,597,728","2,587,167","2,575,503","2,558,584","2,557,647","2,557,701","2,558,531","2,556,737","2,562,366","2,562,889","2,562,905"
...Black,"285,921","280,806","277,879","272,732","268,228","266,393","264,930","264,137","261,710","259,355","259,158","259,158"
...AIAN,"282,029","279,751","277,329","275,022","272,674","271,208","270,474","269,031","267,888","267,372","266,860","266,859"
...Asian,"60,871","58,652","56,890","55,176","53,459","52,690","51,643","50,236","48,673","47,395","46,955","46,955"
...NHPI,"3,138","3,026","2,971","2,841","2,796","2,659","2,406","2,406","2,331","2,179","2,151","2,151"
..Two or More Races,"141,294","138,438","136,870","135,724","134,669","134,520","133,996","133,812","133,950","134,399","133,320","133,322"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"2,742,723","2,725,868","2,713,857","2,701,156","2,683,257","2,682,195","2,681,815","2,682,430","2,680,721","2,686,741","2,686,411","2,686,429"
...Black,"313,560","306,971","303,099","297,130","291,875","289,533","287,547","286,292","283,469","280,835","280,186","280,186"
...AIAN,"394,193","390,771","388,001","385,619","383,238","382,407","382,010","381,124","380,792","381,352","380,383","380,384"
...Asian,"74,881","72,067","69,866","67,747","65,634","64,564","63,136","61,470","59,652","58,088","57,290","57,290"
...NHPI,"6,271","6,070","5,941","5,741","5,601","5,431","4,989","4,978","4,881","4,663","4,433","4,433"
.HISPANIC,"301,840","285,624","273,080","257,336","242,359","229,332","217,537","206,601","193,440","180,877","179,305","179,304"
..One Race,"291,884","276,340","264,367","249,242","234,857","222,412","211,107","200,573","187,792","175,504","174,006","174,005"
...White,"264,135","249,906","238,927","225,510","212,840","201,942","191,919","182,502","171,060","160,000","158,650","158,649"
...Black,"10,959","9,933","9,209","8,466","7,782","7,216","6,675","6,248","5,684","5,118","5,077","5,077"
...AIAN,"14,153","14,027","13,883","13,028","12,094","11,200","10,569","9,943","9,302","8,776","8,699","8,699"
...Asian,"1,828","1,709","1,618","1,532","1,467","1,406","1,329","1,283","1,188","1,090","1,075","1,075"
...NHPI,809,765,730,706,674,648,615,597,558,520,505,505
..Two or More Races,"9,956","9,284","8,713","8,094","7,502","6,920","6,430","6,028","5,648","5,373","5,299","5,299"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"272,906","258,102","246,619","232,645","219,469","208,063","197,626","187,839","176,067","164,755","163,366","163,365"
...Black,"13,874","12,619","11,717","10,802","9,913","9,184","8,476","7,942","7,262","6,608","6,536","6,536"
...AIAN,"21,178","20,633","20,104","18,838","17,511","16,209","15,273","14,370","13,477","12,789","12,678","12,678"
...Asian,"3,383","3,130","2,933","2,737","2,540","2,399","2,231","2,104","1,953","1,798","1,752","1,752"
...NHPI,"1,596","1,478","1,394","1,323","1,226","1,133","1,045",987,908,853,815,815
MALE,"1,821,974","1,799,361","1,783,795","1,762,699","1,741,350","1,733,062","1,720,886","1,716,312","1,704,994","1,697,536","1,695,886","1,695,895"
.One Race,"1,747,098","1,726,342","1,711,968","1,691,948","1,671,480","1,663,624","1,652,181","1,647,950","1,636,732","1,629,203","1,628,136","1,628,144"
..White,"1,421,289","1,406,111","1,395,603","1,381,811","1,366,655","1,361,169","1,353,302","1,350,274","1,342,648","1,338,301","1,337,848","1,337,857"
..Black,"147,471","144,361","142,690","139,162","136,484","135,644","133,714","134,053","132,404","130,604","130,500","130,500"
..AIAN,"145,649","144,459","143,207","141,511","139,854","138,745","137,962","137,050","136,130","135,542","135,262","135,261"
..Asian,"30,568","29,353","28,474","27,572","26,627","26,304","25,649","24,992","24,012","23,326","23,117","23,117"
..NHPI,"2,121","2,058","1,994","1,892","1,860","1,762","1,554","1,581","1,538","1,430","1,409","1,409"
.Two or More Races,"74,876","73,019","71,827","70,751","69,870","69,438","68,705","68,362","68,262","68,333","67,750","67,751"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"1,490,398","1,473,546","1,461,948","1,447,192","1,431,239","1,425,376","1,416,944","1,413,560","1,405,826","1,401,541","1,400,707","1,400,717"
..Black,"162,676","158,686","156,409","152,327","149,149","147,931","145,584","145,604","143,675","141,678","141,282","141,282"
..AIAN,"204,131","202,083","200,401","198,325","196,423","195,425","194,534","193,735","193,120","192,970","192,512","192,512"
..Asian,"38,455","36,863","35,710","34,519","33,311","32,778","31,813","30,985","29,861","29,021","28,560","28,560"
..NHPI,"4,298","4,141","4,018","3,822","3,712","3,555","3,155","3,165","3,092","2,951","2,760","2,760"
.NOT HISPANIC,"1,661,263","1,647,386","1,638,364","1,625,320","1,611,577","1,609,762","1,604,135","1,604,863","1,600,525","1,599,844","1,599,055","1,599,065"
..One Race,"1,591,761","1,579,344","1,571,176","1,558,837","1,545,626","1,543,891","1,538,680","1,539,520","1,535,063","1,534,150","1,533,904","1,533,913"
...White,"1,280,398","1,272,825","1,268,028","1,260,994","1,252,147","1,251,999","1,249,575","1,251,090","1,249,536","1,251,146","1,251,440","1,251,450"
