table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"3,825,657","3,782,991","3,732,957","3,677,545","3,617,869","3,573,505","3,550,180","3,517,111","3,470,382","3,430,891","3,421,437","3,421,399"
.One Race,"3,727,840","3,688,575","3,641,156","3,588,576","3,531,790","3,489,751","3,468,027","3,436,701","3,392,263","3,354,809","3,346,077","3,346,039"
..White,"3,435,729","3,404,936","3,366,005","3,322,627","3,275,409","3,241,518","3,224,979","3,200,250","3,163,972","3,134,409","3,127,337","3,127,299"
..Black,"78,348","75,880","73,286","70,702","67,911","65,897","64,764","63,260","60,906","58,679","58,476","58,476"
..AIAN,"59,665","58,283","56,669","55,073","53,625","52,117","51,041","49,891","48,789","47,857","47,627","47,627"
..Asian,"142,728","138,460","134,439","129,727","124,660","120,431","117,602","113,966","109,566","105,185","104,032","104,032"
..NHPI,"11,370","11,016","10,757","10,447","10,185","9,788","9,641","9,334","9,030","8,679","8,605","8,605"
.Two or More Races,"97,817","94,416","91,801","88,969","86,079","83,754","82,153","80,410","78,119","76,082","75,360","75,360"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,526,561","3,492,588","3,451,212","3,405,178","3,355,297","3,319,191","3,301,199","3,274,860","3,236,447","3,205,004","3,197,270","3,197,232"
..Black,"102,309","98,511","94,925","91,311","87,508","84,672","82,845","80,696","77,598","74,684","74,209","74,209"
..AIAN,"104,143","101,923","99,764","97,440","95,258","93,204","91,845","90,378","88,715","87,399","86,877","86,877"
..Asian,"176,981","171,267","166,075","160,105","153,785","148,477","144,884","140,399","134,953","129,546","128,142","128,142"
..NHPI,"22,109","21,408","20,773","20,128","19,452","18,742","18,369","17,766","17,112","16,418","16,290","16,290"
.NOT HISPANIC,"3,397,188","3,370,154","3,338,154","3,302,367","3,261,847","3,234,290","3,224,688","3,206,064","3,175,559","3,152,795","3,146,123","3,146,085"
..One Race,"3,309,534","3,285,344","3,255,435","3,221,940","3,183,793","3,158,099","3,149,723","3,132,497","3,103,942","3,082,908","3,076,885","3,076,847"
...White,"3,046,695","3,029,048","3,005,702","2,979,569","2,949,153","2,929,869","2,925,137","2,912,904","2,891,001","2,876,526","2,872,035","2,871,997"
...Black,"68,454","66,811","65,001","63,111","61,033","59,607","58,963","57,971","56,202","54,615","54,445","54,445"
...AIAN,"44,220","43,775","43,139","42,552","42,091","41,625","41,516","41,353","41,037","40,644","40,487","40,487"
...Asian,"140,013","135,875","131,978","127,372","122,410","118,269","115,506","111,950","107,652","103,385","102,245","102,245"
...NHPI,"10,152","9,835","9,615","9,336","9,106","8,729","8,601","8,319","8,050","7,738","7,673","7,673"
..Two or More Races,"87,654","84,810","82,719","80,427","78,054","76,191","74,965","73,567","71,617","69,887","69,238","69,238"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"3,128,319","3,108,003","3,082,660","3,054,386","3,021,741","3,000,680","2,994,817","2,981,283","2,957,553","2,941,464","2,936,363","2,936,325"
...Black,"89,439","86,655","84,018","81,270","78,339","76,223","75,028","73,467","71,054","68,880","68,471","68,471"
...AIAN,"83,030","82,019","81,059","80,020","79,071","78,292","78,089","77,772","77,066","76,433","76,015","76,015"
...Asian,"171,383","165,994","161,136","155,449","149,393","144,328","140,929","136,644","131,415","126,228","124,863","124,863"
...NHPI,"19,450","18,871","18,383","17,851","17,326","16,726","16,442","15,940","15,383","14,786","14,682","14,682"
.HISPANIC,"428,469","412,837","394,803","375,178","356,022","339,215","325,492","311,047","294,823","278,096","275,314","275,314"
..One Race,"418,306","403,231","385,721","366,636","347,997","331,652","318,304","304,204","288,321","271,901","269,192","269,192"
...White,"389,034","375,888","360,303","343,058","326,256","311,649","299,842","287,346","272,971","257,883","255,302","255,302"
...Black,"9,894","9,069","8,285","7,591","6,878","6,290","5,801","5,289","4,704","4,064","4,031","4,031"
...AIAN,"15,445","14,508","13,530","12,521","11,534","10,492","9,525","8,538","7,752","7,213","7,140","7,140"
...Asian,"2,715","2,585","2,461","2,355","2,250","2,162","2,096","2,016","1,914","1,800","1,787","1,787"
...NHPI,"1,218","1,181","1,142","1,111","1,079","1,059","1,040","1,015",980,941,932,932
..Two or More Races,"10,163","9,606","9,082","8,542","8,025","7,563","7,188","6,843","6,502","6,195","6,122","6,122"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"398,242","384,585","368,552","350,792","333,556","318,511","306,382","293,577","278,894","263,540","260,907","260,907"
...Black,"12,870","11,856","10,907","10,041","9,169","8,449","7,817","7,229","6,544","5,804","5,738","5,738"
...AIAN,"21,113","19,904","18,705","17,420","16,187","14,912","13,756","12,606","11,649","10,966","10,862","10,862"
...Asian,"5,598","5,273","4,939","4,656","4,392","4,149","3,955","3,755","3,538","3,318","3,279","3,279"
