table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Pennsylvania: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"12,604,767","12,566,368","12,522,531","12,471,142","12,418,161","12,388,368","12,357,524","12,326,302","12,299,533","12,285,504","12,281,071","12,281,054"
.One Race,"12,464,965","12,430,264","12,391,309","12,345,220","12,297,043","12,272,219","12,246,192","12,219,323","12,196,954","12,187,207","12,183,613","12,183,596"
..White,"10,741,619","10,726,098","10,708,966","10,690,352","10,671,391","10,671,629","10,671,381","10,666,832","10,666,228","10,674,415","10,675,035","10,675,010"
..Black,"1,370,987","1,362,069","1,350,057","1,334,228","1,317,583","1,304,514","1,290,226","1,279,570","1,269,125","1,261,034","1,258,941","1,258,949"
..AIAN,"28,593","27,793","26,996","25,660","24,493","23,553","22,505","21,530","20,732","19,873","19,782","19,782"
..Asian,"317,580","308,244","299,380","289,310","278,173","267,381","257,217","246,706","236,317","227,440","225,454","225,454"
..NHPI,"6,186","6,060","5,910","5,670","5,403","5,142","4,863","4,685","4,552","4,445","4,401","4,401"
.Two or More Races,"139,802","136,104","131,222","125,922","121,118","116,149","111,332","106,979","102,579","98,297","97,458","97,458"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"10,864,244","10,845,272","10,823,649","10,800,141","10,776,760","10,772,387","10,767,671","10,759,104","10,754,476","10,758,744","10,758,748","10,758,723"
..Black,"1,457,860","1,446,024","1,430,329","1,410,609","1,390,443","1,373,721","1,355,934","1,342,154","1,328,626","1,317,514","1,315,090","1,315,098"
..AIAN,"66,662","65,535","64,313","62,354","60,639","59,194","57,552","56,026","54,685","53,324","53,316","53,316"
..Asian,"353,455","343,271","333,184","321,754","309,386","297,276","285,918","274,242","262,664","252,574","250,001","250,001"
..NHPI,"12,962","12,678","12,323","11,900","11,402","10,948","10,502","10,138","9,822","9,527","9,170","9,170"
.NOT HISPANIC,"11,958,243","11,949,255","11,935,292","11,917,323","11,897,737","11,897,333","11,894,408","11,887,889","11,882,885","11,888,104","11,886,991","11,886,966"
..One Race,"11,834,167","11,828,167","11,818,311","11,804,794","11,789,162","11,792,973","11,794,117","11,791,326","11,790,196","11,799,197","11,798,824","11,798,799"
...White,"10,196,380","10,207,568","10,215,960","10,224,593","10,233,537","10,258,082","10,280,499","10,297,721","10,317,149","10,342,918","10,346,332","10,346,307"
...Black,"1,302,883","1,295,319","1,286,079","1,274,177","1,260,849","1,250,884","1,239,861","1,230,639","1,220,861","1,213,363","1,211,622","1,211,622"
...AIAN,"19,169","18,812","18,490","18,047","17,588","17,246","16,750","16,250","15,815","15,341","15,289","15,289"
...Asian,"312,171","302,982","294,381","284,690","274,002","263,660","253,963","243,738","233,492","224,756","222,790","222,790"
...NHPI,"3,564","3,486","3,401","3,287","3,186","3,101","3,044","2,978","2,879","2,819","2,791","2,791"
..Two or More Races,"124,076","121,088","116,981","112,529","108,575","104,360","100,291","96,563","92,689","88,907","88,167","88,167"
..Race alone or in combination:1,,,,,,,,,,,,
