table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Rhode Island: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"1,053,209","1,053,502","1,055,009","1,060,196","1,064,989","1,071,414","1,071,504","1,066,034","1,058,051","1,050,736","1,048,315","1,048,319"
.One Race,"1,035,563","1,036,269","1,038,168","1,043,628","1,048,847","1,055,498","1,056,061","1,051,068","1,043,686","1,036,938","1,034,639","1,034,643"
..White,"930,287","932,004","934,864","940,657","946,423","953,782","955,844","953,159","948,444","944,095","942,324","942,328"
..Black,"67,617","67,038","66,612","66,313","65,824","65,498","64,577","63,283","61,738","60,213","59,931","59,931"
..AIAN,"6,801","6,755","6,691","6,698","6,643","6,532","6,415","6,236","6,050","5,924","5,910","5,910"
..Asian,"29,366","29,030","28,598","28,582","28,599","28,371","27,949","27,168","26,268","25,566","25,335","25,335"
..NHPI,"1,492","1,442","1,403","1,378","1,358","1,315","1,276","1,222","1,186","1,140","1,139","1,139"
.Two or More Races,"17,646","17,233","16,841","16,568","16,142","15,916","15,443","14,966","14,365","13,798","13,676","13,676"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"945,192","946,532","949,017","954,517","959,910","967,039","968,680","965,522","960,295","955,420","953,513","953,517"
..Black,"78,095","77,189","76,489","75,929","75,154","74,610","73,366","71,722","69,771","67,893","67,610","67,610"
..AIAN,"12,324","12,225","12,145","12,176","12,141","12,035","11,866","11,654","11,381","11,160","11,187","11,187"
..Asian,"33,894","33,481","32,937","32,882","32,742","32,465","31,908","31,021","29,941","29,067","28,692","28,692"
..NHPI,"2,635","2,578","2,489","2,476","2,396","2,357","2,283","2,202","2,118","2,032","2,014","2,014"
.NOT HISPANIC,"925,360","929,632","934,847","942,961","951,175","960,718","964,493","964,011","961,202","959,043","957,495","957,499"
..One Race,"911,050","915,584","921,049","929,339","937,857","947,511","951,645","951,507","949,159","947,441","946,000","946,004"
...White,"823,719","828,750","834,866","843,486","852,454","862,697","868,225","870,073","870,085","870,441","869,404","869,408"
...Black,"53,761","53,533","53,258","52,821","52,293","51,917","50,957","49,792","48,375","47,004","46,851","46,851"
...AIAN,"4,465","4,508","4,537","4,643","4,670","4,669","4,650","4,601","4,529","4,518","4,501","4,501"
...Asian,"28,485","28,185","27,786","27,788","27,832","27,633","27,233","26,487","25,627","24,961","24,727","24,727"
...NHPI,620,608,602,601,608,595,580,554,543,517,517,517
..Two or More Races,"14,310","14,048","13,798","13,622","13,318","13,207","12,848","12,504","12,043","11,602","11,495","11,495"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"835,686","840,468","846,343","854,773","863,452","873,566","878,768","880,277","879,889","879,834","878,679","878,683"
...Black,"61,549","61,135","60,690","60,080","59,357","58,862","57,670","56,263","54,551","52,920","52,775","52,775"
...AIAN,"9,323","9,347","9,377","9,527","9,573","9,606","9,560","9,504","9,359","9,275","9,302","9,302"
...Asian,"32,623","32,264","31,772","31,729","31,650","31,418","30,891","30,046","29,032","28,217","27,845","27,845"
...NHPI,"1,534","1,524","1,491","1,491","1,467","1,462","1,422","1,384","1,331","1,277","1,258","1,258"
.HISPANIC,"127,849","123,870","120,162","117,235","113,814","110,696","107,011","102,023","96,849","91,693","90,820","90,820"
..One Race,"124,513","120,685","117,119","114,289","110,990","107,987","104,416","99,561","94,527","89,497","88,639","88,639"
...White,"106,568","103,254","99,998","97,171","93,969","91,085","87,619","83,086","78,359","73,654","72,920","72,920"
...Black,"13,856","13,505","13,354","13,492","13,531","13,581","13,620","13,491","13,363","13,209","13,080","13,080"
...AIAN,"2,336","2,247","2,154","2,055","1,973","1,863","1,765","1,635","1,521","1,406","1,409","1,409"
...Asian,881,845,812,794,767,738,716,681,641,605,608,608
...NHPI,872,834,801,777,750,720,696,668,643,623,622,622
..Two or More Races,"3,336","3,185","3,043","2,946","2,824","2,709","2,595","2,462","2,322","2,196","2,181","2,181"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"109,506","106,064","102,674","99,744","96,458","93,473","89,912","85,245","80,406","75,586","74,834","74,834"
...Black,"16,546","16,054","15,799","15,849","15,797","15,748","15,696","15,459","15,220","14,973","14,835","14,835"
...AIAN,"3,001","2,878","2,768","2,649","2,568","2,429","2,306","2,150","2,022","1,885","1,885","1,885"
...Asian,"1,271","1,217","1,165","1,153","1,092","1,047","1,017",975,909,850,847,847
...NHPI,"1,101","1,054",998,985,929,895,861,818,787,755,756,756
MALE,"511,490","511,028","511,143","513,543","514,969","517,803","516,633","513,462","508,901","504,805","503,633","503,635"
.One Race,"502,975","502,733","503,067","505,615","507,215","510,164","509,270","506,326","502,107","498,287","497,163","497,165"
..White,"450,486","450,943","451,802","454,326","456,486","459,732","459,844","458,090","455,205","452,563","451,695","451,697"
..Black,"34,183","33,788","33,535","33,470","32,975","32,814","32,103","31,404","30,601","29,878","29,735","29,735"
..AIAN,"3,349","3,318","3,286","3,301","3,242","3,207","3,138","3,043","2,956","2,878","2,873","2,873"
