table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"4,561,242","4,503,280","4,424,232","4,339,399","4,256,199","4,201,306","4,146,474","4,103,934","4,062,701","4,023,570","4,011,832","4,012,012"
.One Race,"4,510,545","4,454,688","4,378,473","4,296,591","4,216,111","4,162,997","4,110,258","4,069,747","4,030,583","3,993,588","3,982,154","3,982,333"
..White,"3,140,443","3,096,888","3,040,127","2,976,278","2,914,997","2,873,578","2,833,262","2,803,049","2,772,413","2,745,191","2,738,730","2,738,803"
..Black,"1,287,368","1,278,125","1,262,506","1,248,545","1,233,023","1,224,454","1,215,254","1,207,875","1,202,006","1,194,497","1,190,002","1,190,108"
..AIAN,"19,614","19,130","18,391","17,601","16,875","16,402","15,838","15,455","14,972","14,458","14,391","14,391"
..Asian,"60,212","57,683","54,740","51,631","48,777","46,238","43,691","41,282","39,180","37,586","37,180","37,180"
..NHPI,"2,908","2,862","2,709","2,536","2,439","2,325","2,213","2,086","2,012","1,856","1,851","1,851"
.Two or More Races,"50,697","48,592","45,759","42,808","40,088","38,309","36,216","34,187","32,118","29,982","29,678","29,679"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"3,183,378","3,138,037","3,078,774","3,012,408","2,948,799","2,905,791","2,863,708","2,831,730","2,799,291","2,770,208","2,763,473","2,763,547"
..Black,"1,313,967","1,303,416","1,286,064","1,270,304","1,253,187","1,243,540","1,233,144","1,224,584","1,217,491","1,208,731","1,204,045","1,204,151"
..AIAN,"37,972","36,970","35,577","34,060","32,676","31,783","30,657","29,810","28,787","27,760","27,622","27,623"
