table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Dakota: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"812,383","804,532","797,035","788,519","780,084","774,283","766,975","762,107","758,983","755,694","754,835","754,844"
.One Race,"800,370","792,964","785,863","777,704","769,598","764,234","757,311","752,740","749,948","746,987","746,202","746,211"
..White,"713,702","708,194","702,454","695,948","689,657","685,732","680,654","677,683","676,251","674,592","674,023","674,032"
..Black,"10,000","9,258","8,826","8,226","7,625","7,102","6,588","6,079","5,515","4,979","4,968","4,968"
..AIAN,"68,976","68,400","67,800","66,915","66,075","65,423","64,420","63,713","63,163","62,644","62,483","62,483"
..Asian,"7,219","6,664","6,355","6,193","5,826","5,577","5,287","4,937","4,726","4,497","4,461","4,461"
..NHPI,473,448,428,422,415,400,362,328,293,275,267,267
.Two or More Races,"12,013","11,568","11,172","10,815","10,486","10,049","9,664","9,367","9,035","8,707","8,633","8,633"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"724,889","718,964","712,867","706,013","699,424","695,089","689,660","686,400","684,649","682,686","682,076","682,085"
..Black,"13,083","12,136","11,602","10,828","10,109","9,444","8,770","8,185","7,520","6,849","6,780","6,780"
..AIAN,"76,205","75,498","74,702","73,711","72,739","71,874","70,724","69,880","69,185","68,560","68,381","68,381"
..Asian,"9,832","9,117","8,685","8,423","7,954","7,582","7,176","6,744","6,429","6,093","6,027","6,027"
..NHPI,947,892,842,827,795,761,701,658,606,572,557,557
.NOT HISPANIC,"788,928","782,319","776,007","768,724","761,525","757,203","751,449","748,028","746,332","744,694","743,932","743,941"
..One Race,"777,621","771,439","765,493","758,537","751,636","747,717","742,317","739,176","737,792","736,465","735,776","735,785"
...White,"694,483","690,262","685,653","680,121","674,804","672,025","668,188","666,391","666,134","665,821","665,343","665,352"
...Black,"9,247","8,584","8,216","7,665","7,109","6,643","6,191","5,745","5,250","4,785","4,774","4,774"
...AIAN,"66,426","65,696","65,044","64,330","63,663","63,237","62,444","61,921","61,526","61,221","61,065","61,065"
...Asian,"7,102","6,551","6,247","6,090","5,727","5,483","5,194","4,848","4,639","4,411","4,375","4,375"
...NHPI,363,346,333,331,333,329,300,271,243,227,219,219
..Two or More Races,"11,307","10,880","10,514","10,187","9,889","9,486","9,132","8,852","8,540","8,229","8,156","8,156"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"705,062","700,438","695,491","689,643","684,052","680,886","676,725","674,644","674,099","673,491","672,973","672,982"
...Black,"12,084","11,244","10,760","10,061","9,400","8,788","8,215","7,684","7,094","6,525","6,457","6,457"
...AIAN,"73,183","72,311","71,497","70,685","69,897","69,312","68,370","67,732","67,200","66,772","66,598","66,598"
...Asian,"9,601","8,903","8,488","8,230","7,777","7,410","7,011","6,588","6,271","5,948","5,882","5,882"
...NHPI,801,756,717,708,690,665,619,584,536,508,492,492
.HISPANIC,"23,455","22,213","21,028","19,795","18,559","17,080","15,526","14,079","12,651","11,000","10,903","10,903"
..One Race,"22,749","21,525","20,370","19,167","17,962","16,517","14,994","13,564","12,156","10,522","10,426","10,426"
...White,"19,219","17,932","16,801","15,827","14,853","13,707","12,466","11,292","10,117","8,771","8,680","8,680"
...Black,753,674,610,561,516,459,397,334,265,194,194,194
...AIAN,"2,550","2,704","2,756","2,585","2,412","2,186","1,976","1,792","1,637","1,423","1,418","1,418"
...Asian,117,113,108,103,99,94,93,89,87,86,86,86
...NHPI,110,102,95,91,82,71,62,57,50,48,48,48
..Two or More Races,706,688,658,628,597,563,532,515,495,478,477,477
..Race alone or in combination:1,,,,,,,,,,,,
...White,"19,827","18,526","17,376","16,370","15,372","14,203","12,935","11,756","10,550","9,195","9,103","9,103"
...Black,999,892,842,767,709,656,555,501,426,324,323,323
...AIAN,"3,022","3,187","3,205","3,026","2,842","2,562","2,354","2,148","1,985","1,788","1,783","1,783"
...Asian,231,214,197,193,177,172,165,156,158,145,145,145
...NHPI,146,136,125,119,105,96,82,74,70,64,65,65
MALE,"405,920","401,211","397,332","393,166","388,712","385,721","381,757","378,804","376,875","375,050","374,553","374,558"
.One Race,"399,927","395,443","391,759","387,777","383,486","380,712","376,918","374,124","372,376","370,714","370,253","370,258"
..White,"356,366","352,965","349,967","346,725","343,372","341,225","338,402","336,463","335,400","334,332","333,981","333,986"
..Black,"5,843","5,377","5,148","4,866","4,516","4,299","4,007","3,748","3,474","3,222","3,212","3,212"
..AIAN,"33,962","33,651","33,382","32,995","32,593","32,315","31,790","31,398","31,113","30,904","30,828","30,828"
..Asian,"3,487","3,198","3,019","2,953","2,771","2,654","2,521","2,338","2,230","2,107","2,091","2,091"
..NHPI,269,252,243,238,234,219,198,177,159,149,141,141
.Two or More Races,"5,993","5,768","5,573","5,389","5,226","5,009","4,839","4,680","4,499","4,336","4,300","4,300"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"361,926","358,314","355,145","351,726","348,231","345,871","342,899","340,803","339,575","338,346","337,984","337,989"
