table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Tennessee: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"6,296,254","6,240,456","6,172,862","6,089,453","5,995,748","5,916,762","5,856,522","5,803,306","5,755,443","5,703,243","5,689,276","5,689,283"
.One Race,"6,222,309","6,169,002","6,104,347","6,024,241","5,933,819","5,857,913","5,800,240","5,749,598","5,704,222","5,654,820","5,641,368","5,641,375"
..White,"5,048,678","5,010,881","4,960,462","4,897,540","4,831,028","4,775,160","4,735,163","4,699,723","4,669,525","4,635,817","4,626,465","4,626,473"
..Black,"1,060,260","1,048,455","1,037,465","1,025,258","1,006,077","990,601","977,207","965,747","954,169","941,588","938,216","938,215"
..AIAN,"21,737","21,216","20,750","19,434","18,779","18,151","17,555","17,142","16,680","15,992","15,917","15,917"
..Asian,"87,769","84,743","82,057","78,592","74,715","70,963","67,456","64,230","61,213","58,904","58,263","58,263"
..NHPI,"3,865","3,707","3,613","3,417","3,220","3,038","2,859","2,756","2,635","2,519","2,507","2,507"
.Two or More Races,"73,945","71,454","68,515","65,212","61,929","58,849","56,282","53,708","51,221","48,423","47,908","47,908"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"5,116,095","5,075,990","5,022,834","4,956,867","4,887,343","4,828,624","4,786,273","4,748,424","4,715,932","4,679,631","4,669,863","4,669,871"
..Black,"1,093,262","1,080,071","1,067,334","1,053,313","1,032,263","1,015,088","1,000,286","987,337","974,329","960,200","956,502","956,501"
..AIAN,"51,278","50,160","49,107","47,008","45,594","44,245","43,038","42,061","41,047","39,694","39,532","39,532"
..Asian,"106,463","102,689","99,169","94,682","89,837","85,174","80,909","76,950","73,229","70,108","69,268","69,268"
..NHPI,"7,408","7,127","6,889","6,498","6,157","5,795","5,480","5,261","4,994","4,741","4,695","4,695"
.NOT HISPANIC,"6,034,461","5,993,738","5,941,331","5,877,811","5,802,226","5,741,190","5,695,924","5,654,747","5,618,716","5,578,155","5,565,438","5,565,445"
..One Race,"5,965,542","5,926,959","5,877,162","5,816,492","5,743,809","5,685,464","5,642,478","5,603,683","5,569,937","5,531,996","5,519,769","5,519,776"
...White,"4,817,476","4,793,441","4,756,515","4,710,112","4,658,572","4,617,043","4,589,850","4,565,601","4,546,380","4,523,462","4,515,264","4,515,272"
...Black,"1,042,350","1,031,230","1,021,215","1,010,583","993,491","980,706","968,822","957,858","946,711","934,572","931,259","931,258"
...AIAN,"17,460","17,122","16,872","16,485","16,105","15,707","15,312","14,997","14,648","14,111","14,042","14,042"
...Asian,"85,507","82,543","79,994","76,849","73,266","69,739","66,350","63,160","60,213","57,957","57,320","57,320"
...NHPI,"2,749","2,623","2,566","2,463","2,375","2,269","2,144","2,067","1,985","1,894","1,884","1,884"
..Two or More Races,"68,919","66,779","64,169","61,319","58,417","55,726","53,446","51,064","48,779","46,159","45,669","45,669"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"4,880,646","4,854,619","4,815,219","4,766,162","4,711,941","4,667,880","4,638,561","4,612,085","4,590,726","4,565,382","4,556,779","4,556,787"
...Black,"1,072,880","1,060,579","1,049,002","1,036,759","1,017,998","1,003,694","990,552","978,191","965,738","952,123","948,496","948,495"
...AIAN,"44,993","44,202","43,467","42,462","41,465","40,492","39,605","38,791","37,957","36,816","36,663","36,663"
...Asian,"102,770","99,139","95,860","91,848","87,413","83,096","79,024","75,156","71,563","68,551","67,734","67,734"
...NHPI,"5,745","5,519","5,355","5,123","4,921","4,691","4,459","4,289","4,090","3,871","3,831","3,831"
.HISPANIC,"261,793","246,718","231,531","211,642","193,522","175,572","160,598","148,559","136,727","125,088","123,838","123,838"
..One Race,"256,767","242,043","227,185","207,749","190,010","172,449","157,762","145,915","134,285","122,824","121,599","121,599"
...White,"231,202","217,440","203,947","187,428","172,456","158,117","145,313","134,122","123,145","112,355","111,201","111,201"
...Black,"17,910","17,225","16,250","14,675","12,586","9,895","8,385","7,889","7,458","7,016","6,957","6,957"
...AIAN,"4,277","4,094","3,878","2,949","2,674","2,444","2,243","2,145","2,032","1,881","1,875","1,875"
...Asian,"2,262","2,200","2,063","1,743","1,449","1,224","1,106","1,070","1,000",947,943,943
