table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Utah: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"2,784,572","2,727,343","2,663,796","2,583,724","2,499,637","2,438,915","2,379,938","2,334,473","2,291,250","2,244,314","2,233,204","2,233,169"
.One Race,"2,736,540","2,681,735","2,620,594","2,543,356","2,461,834","2,403,162","2,345,989","2,302,361","2,260,983","2,216,150","2,205,378","2,205,343"
..White,"2,580,338","2,532,235","2,477,751","2,407,884","2,333,597","2,280,018","2,227,631","2,187,722","2,150,565","2,110,018","2,100,245","2,100,211"
..Black,"38,164","35,598","33,299","30,497","27,673","25,724","23,948","22,663","21,139","19,462","19,370","19,370"
..AIAN,"39,289","38,302","37,270","35,674","34,366","33,483","32,869","32,385","31,736","31,357","31,154","31,154"
..Asian,"57,120","54,612","52,063","49,922","47,480","45,808","43,912","42,409","40,810","39,156","38,625","38,624"
..NHPI,"21,629","20,988","20,211","19,379","18,718","18,129","17,629","17,182","16,733","16,157","15,984","15,984"
.Two or More Races,"48,032","45,608","43,202","40,368","37,803","35,753","33,949","32,112","30,267","28,164","27,826","27,826"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"2,624,816","2,574,454","2,517,728","2,445,197","2,368,520","2,313,035","2,258,975","2,217,330","2,178,483","2,135,970","2,125,923","2,125,889"
..Black,"50,019","46,670","43,639","40,035","36,501","33,932","31,671","29,893","27,880","25,658","25,392","25,392"
..AIAN,"53,679","52,160","50,614","48,366","46,465","45,124","44,145","43,278","42,237","41,388","41,002","41,002"
..Asian,"76,493","72,941","69,275","65,894","62,303","59,744","57,018","54,661","52,231","49,667","49,040","49,039"
..NHPI,"31,414","30,338","29,092","27,694","26,527","25,508","24,626","23,773","22,885","21,814","21,627","21,627"
.NOT HISPANIC,"2,441,408","2,399,358","2,355,422","2,297,237","2,232,088","2,185,170","2,138,684","2,105,128","2,074,248","2,040,160","2,031,645","2,031,610"
..One Race,"2,398,982","2,359,019","2,317,071","2,261,307","2,198,391","2,153,267","2,108,374","2,076,452","2,047,206","2,014,996","2,006,771","2,006,736"
