table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,
"Table 3. Annual Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Vermont: April 1, 2000 to July 1, 2009",,,,,,,,,,,,
"Sex, Race, and Hispanic Origin",Population Estimates,,,,,,,,,,"April 1, 2000",
,"July 1, 2009","July 1, 2008","July 1, 2007","July 1, 2006","July 1, 2005","July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates Base,Census
BOTH SEXES,"621,760","621,049","620,460","619,985","618,814","618,145","616,559","614,950","612,153","609,903","608,821","608,827"
.One Race,"614,312","613,748","613,293","612,953","611,937","611,380","609,956","608,504","605,854","603,666","602,649","602,655"
..White,"598,423","598,358","598,285","598,377","597,908","597,813","596,954","596,014","593,919","592,334","591,426","591,431"
..Black,"5,917","5,613","5,330","5,040","4,697","4,381","4,087","3,787","3,529","3,238","3,233","3,233"
..AIAN,"2,452","2,445","2,450","2,463","2,451","2,464","2,466","2,475","2,496","2,493","2,481","2,482"
..Asian,"7,298","7,116","7,014","6,864","6,690","6,536","6,278","6,070","5,758","5,452","5,360","5,360"
..NHPI,222,216,214,209,191,186,171,158,152,149,149,149
.Two or More Races,"7,448","7,301","7,167","7,032","6,877","6,765","6,603","6,446","6,299","6,237","6,172","6,172"
.Race alone or in combination:1,,,,,,,,,,,,
..White,"605,639","605,425","605,227","605,170","604,568","604,358","603,336","602,237","600,001","598,353","597,391","597,396"
..Black,"7,941","7,577","7,210","6,846","6,418","6,049","5,676","5,307","4,992","4,658","4,618","4,618"
..AIAN,"6,557","6,508","6,515","6,506","6,482","6,462","6,435","6,380","6,394","6,420","6,412","6,413"
..Asian,"9,097","8,864","8,713","8,497","8,273","8,073","7,757","7,507","7,128","6,775","6,643","6,643"
..NHPI,413,404,399,392,367,357,332,324,307,312,308,308
.NOT HISPANIC,"612,576","612,215","612,013","611,927","611,154","610,863","609,679","608,380","606,033","604,341","603,317","603,323"
..One Race,"605,432","605,214","605,137","605,180","604,558","604,375","603,351","602,205","600,007","598,375","597,405","597,411"
...White,"590,100","590,369","590,658","591,112","591,017","591,287","590,820","590,177","588,512","587,464","586,599","586,604"
...Black,"5,615","5,322","5,051","4,774","4,440","4,131","3,841","3,547","3,304","3,027","3,022","3,022"
...AIAN,"2,296","2,290","2,297","2,317","2,315","2,330","2,334","2,345","2,372","2,373","2,365","2,366"
...Asian,"7,225","7,043","6,943","6,794","6,621","6,467","6,211","6,004","5,692","5,386","5,294","5,294"
...NHPI,196,190,188,183,165,160,145,132,127,125,125,125
..Two or More Races,"7,144","7,001","6,876","6,747","6,596","6,488","6,328","6,175","6,026","5,966","5,912","5,912"
..Race alone or in combination:1,,,,,,,,,,,,
...White,"597,027","597,152","597,326","597,640","597,404","597,566","596,945","596,144","594,335","593,227","592,320","592,325"
...Black,"7,489","7,136","6,777","6,436","6,013","5,664","5,296","4,931","4,624","4,310","4,274","4,274"
...AIAN,"6,252","6,204","6,215","6,230","6,205","6,192","6,171","6,129","6,133","6,149","6,144","6,145"
...Asian,"8,980","8,750","8,599","8,382","8,160","7,964","7,647","7,393","7,017","6,668","6,539","6,539"
...NHPI,354,354,345,336,316,305,284,274,260,262,263,263
.HISPANIC,"9,184","8,834","8,447","8,058","7,660","7,282","6,880","6,570","6,120","5,562","5,504","5,504"
..One Race,"8,880","8,534","8,156","7,773","7,379","7,005","6,605","6,299","5,847","5,291","5,244","5,244"
...White,"8,323","7,989","7,627","7,265","6,891","6,526","6,134","5,837","5,407","4,870","4,827","4,827"
...Black,302,291,279,266,257,250,246,240,225,211,211,211
...AIAN,156,155,153,146,136,134,132,130,124,120,116,116
